Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE,AU,CA,FR,IT,KR,MX,RU,TH,BE,BR,CH,CN,CO,ES,HK,ID,IE,IN,NL,NZ,TR,TW,ZA,AE,AR,AT,CL,CZ,DK,EC,EE,EG,FI,GR,HU,IL,KE,KZ,LB,LT,LU,MY,NG,NO,PE,PH,PL,PT,RO,SA,SE,SI,SG,SK,UA,VN
88,1,"Jungeli, Imen Es & Alonzo - Petit génie",60,80,,1807,30,0.104,,,,,,,1,,,,,,2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
89,-14,Bad Bunny - UN PREVIEW,16,31,,1806,-322,0.046,181,,,,,,,,,42,,,,,,,10,12,,,,,,,,,,,32,,12,,,7,,,,,,,,,,,,,,,10,,,,,,,,,,,
90,-2,Maluma & Carin Leon - Según Quién,24,86,,1794,15,0.051,196,,,,,,,,,17,,,,,,,5,65,,,,,,,,,,,60,,41,,,4,,,,,,,,,,,,,,,6,,,,,,,,,,,
91,=,PASHANIM - Ms. Jackson,48,73,,1762,10,0.087,,,,6,,,,,,,,,,,39,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,
92,-2,Doja Cat - Agora Hills,15,43,,1753,-13,0.035,53,132,,,143,166,,,,,,188,,81,,,,,,,,,179,43,,,69,68,,,,,,,,,,,,,,,36,57,,106,,,,55,90,,,36,,,93,,,90
93,=,AYLIVA - Hässlich,44,74,,1747,5,0.08,,,,7,,,,,,,,,,,35,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,
94,12,Eminem - Mockingbird,360,17,,1742,142,1.231,,,,47,,,,,,,74,,114,,37,,,,,,,,123,,,,,99,,40,,57,112,,80,,151,,,,,47,70,,68,,,122,,,82,,,,106,,,55,65,
95,-1,Tatsuya Kitani - Where Our Blue Is,79,85,,1738,19,0.14,,,6,,,,,,,,,,,,,,,,83,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2,Dave & Tiakola - Meridian,48,69,,1719,38,0.094,,,,,,,4,,,,,,7,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,
97,3,NewJeans - OMG,283,19,,1697,31,1.118,,,66,,,,,,29,,,107,,,,,,,44,171,,,,,,49,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,42,,,
98,-2,"Calle 24, Chino Pacas & Fuerza Regida - Qué Onda",40,85,,1692,-10,0.069,95,,,,,,,,,1,,,,,,,18,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,
99,5,Ayra Starr - Rush,281,24,,1666,58,1.023,,,,,,,16,,,,,,70,,65,,,,,,,,73,,,,51,56,,,,,,,,,,,,,23,,85,,49,,,,,,,66,,83,147,,,,,
100,-5,"The Weeknd, JENNIE & Lily Rose Depp - One Of The Girls",46,93,,1659,-45,0.109,,,,,,,,,,,,14,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,21,,,,12,,,,39,,,,44,,,31,,,24
101,1,Feid & Young Miko - Classy 101,194,63,,1657,31,0.423,,,,,,,,,,39,,,,,,,9,29,,,,,,,,,,,17,,18,,,10,,,,,,,,,,,,,,,13,,,,,,,,,,,
102,-1,AYLIVA - Weißes Haus,64,68,,1656,10,0.14,,,,10,,,,,,,,,,,36,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,
103,-6,The Kolors - ITALODISCO,86,72,,1655,-30,0.187,,,,,,,,10,,,,,,,12,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,5,,,,,,,4,,,,,,,,,
104,-1,KeBlack - LAISSE MOI,27,93,,1633,22,0.049,,,,,,,2,,,,,,6,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
105,5,SDM - Bolide allemand,287,105,,1623,72,0.456,,,,,,,5,,,,,,9,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
106,-1,NewJeans - Hype Boy,436,27,,1604,-3,1.3,,,86,,,,,,19,,,122,,,,,,,56,,,,,,,35,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,71,,,
107,1,Sonny Fodera & MK - Asking,61,106,,1589,23,0.116,,10,,,,,,,,,,,,,90,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,13,ROSALÍA & Rauw Alejandro - BESO,202,20,,1580,117,0.604,,,,,,,35,80,,131,,,,,57,,96,37,,,,,,,,,,,43,,78,,,85,,,,,,,,,,,90,,,,82,,,52,,,,,,,,
109,4,YOASOBI - 夜に駆ける,930,88,,1560,46,1.82,,,19,,,,,,,,,,,,,,,,31,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,4,Bizarrap & Milo j - Fruto,3,110,,1557,50,0.007,,,,,,,,,,46,,,,,,,41,18,,,,,,,,,,,2,,7,,,9,,,,,,,,,,,,,,,4,,,,,,,,,,,
111,4,Post Malone & Swae Lee - Sunflower,1087,3,(x19),1544,40,6.594,,174,,,59,154,,,,,,23,,194,,,,,,,129,131,163,57,,,,,,,,,195,,,,,,,,,,,,,109,,135,,167,,,,,193,,51,,,
112,=,The Weeknd - Starboy,751,18,,1543,16,2.825,,,,,109,,,,,192,184,,164,43,173,,,,,40,,59,104,79,,,,45,,,,,,,45,98,150,,,,,77,52,78,,65,,127,157,,124,,193,42,116,,,,,
113,-4,"SIRA, Bausa & badchieff - 9 bis 9",80,101,,1534,-27,0.148,,,,8,,,,,,,,,,,77,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,4,Billy Gillies - DNA,12,114,,1530,37,0.03,,15,,,,,,,,,,,,,75,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,-8,Taylor Swift - Shake It Off,182,36,,1529,-43,1.012,,110,,154,49,138,,,,,,176,,87,149,,,,,,67,,85,59,,,,,112,137,,,128,,,,,,,,,,,,,,,81,186,141,,,,,93,,66,,,
116,=,AYLIVA - Scheine zählen,46,87,,1522,21,0.077,,,,13,,,,,,,,,,,56,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,
117,14,Tiësto - Lay Low,208,44,,1514,130,0.571,,,,36,,,,,,,,,,,60,,,,,,,,68,,,,,,,23,,32,,,,,,,94,,,,,,,,,,,,54,,,,,,,19,27,
118,20,Travis Scott - MY EYES,74,7,,1509,205,0.354,186,,,94,,131,,139,,,,,184,,92,,,,,,,101,129,,,,120,39,,55,,65,,,73,26,190,,75,,,,35,,47,,,,,,73,96,67,56,,,,33,,
119,-2,Ado - Show,32,110,,1500,0,0.05,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,-28,Bad Bunny - WHERE SHE GOES,146,7,,1496,-249,0.589,,,,,,,,41,,50,,,,,,,70,47,,,,,,,,,,,51,,50,,,36,,,,,,,,,,,,,,,39,,,62,,,,,,,,
121,-2,ANNA ASTI - Царица,87,112,,1488,-4,0.124,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,24,,11,,,,,,,162,,,,,,,,14,
122,1,Becky Hill & Chase & Status - Disconnect,87,72,,1486,48,0.155,,14,,,,,,,,,,,,,80,,,,,,58,,,190,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,
123,-12,Nicki Minaj & Ice Spice - Barbie World,110,2,(x2),1468,-83,0.771,173,198,,174,41,104,,,,,,,100,,137,,,,,,200,,82,55,,,,57,,196,,,90,,,,165,,,,,,,82,85,,,84,,,105,,,,107,,,,,
124,-2,Oliver Anthony Music - Rich Men North of Richmond,60,23,,1462,23,0.186,60,194,,,56,34,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,=,Heuss L'enfoiré - Saiyan,97,100,,1449,22,0.182,,,,,,,7,,,,,,12,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,
126,-6,Ed Sheeran - Perfect,1982,1,(x2),1446,-31,8.751,,136,,,94,150,,,,,,131,126,130,106,,,,182,138,164,103,63,106,,,,91,154,,,96,61,,,,158,,,,,,,,,47,,43,,178,142,,,88,76,,24,,,
127,-3,Junior H - Y LLORO,5,124,,1427,-8,0.008,64,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,-1,シャイトープ - ランデヴー,47,119,,1414,0,0.079,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,-1,Troye Sivan - Got Me Started,20,54,,1409,12,0.039,,54,,,80,,,,,,,142,,,69,,,,,,46,,,103,,,,,,,,,70,,,,,,,,,,,,,99,,,,118,,,,,,,40,,,
130,-4,Manuel Turizo - La Bachata,453,45,,1403,-19,1.088,,,,,,,,152,,59,,,,,109,,33,33,,,,,,,,,,,20,,37,,,31,,,,,,,,,,,,,,,30,,,50,,,,,,,,
131,14,Bad Bunny - Moscow Mule,514,19,,1398,142,1.295,193,,,,,,,,,33,,,,,,,29,53,,,,,,,,,,,110,,25,,,17,,,,,,,,,,,,,,,20,,,,,,,,,,,
132,=,KAROL G - MI EX TENÍA RAZÓN,62,44,,1389,13,0.142,,,,,,,,,,58,,,,,,,8,50,,,,,,,,,,,30,,21,,,13,,,,,,,,,,,,,,,12,,,,,,,,,,,
133,2,RIIZE - Get A Guitar,15,127,,1387,27,0.041,,,131,,,,,,2,,,168,,,,,,,153,199,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,-5,Zach Bryan - Hey Driver,48,45,,1387,-9,0.108,57,,,,66,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,7,RAYE & 070 Shake - Escapism.,259,4,,1372,107,1.755,,67,,92,130,,,,,,,,153,,139,,,,,,87,,108,151,,,,81,,88,,,119,,,176,98,,,,,,98,,48,84,,99,,,,,,50,197,,,,,
136,-2,AYLIVA - Lass mich gehen,41,99,,1370,5,0.067,,,,15,,,,,,,,,,,82,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,
137,-7,MACAN - Май,6,127,,1361,-24,0.008,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,12,,46,,,,,,,,,,,,,,,43,
138,1,Bad Bunny & Bomba Estéreo - Ojitos Lindos,519,38,,1348,52,1.192,,,,,,,,,,34,,,,,,,22,79,,,,,,,,,,,27,,32,,,20,,,,,,,,,,,,,,,21,,,,,,,,,,,
139,8,The Killers - Mr. Brightside,714,58,,1348,101,1.816,,55,,193,46,,,,,,,,160,,,,,,,,60,,,68,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,NEW,YOASOBI - The Blessing,73,140,,1340,1340,0.301,,,20,,,,,,,,,,,,,,,,43,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,-8,Fleetwood Mac - Dreams,818,22,,1327,-42,2.035,,109,,,47,102,,,,,,,,,,,,,,,80,,67,31,,,,,,,,,146,,,,,,,,,,,,,,,157,,,,,,,121,,,,,
142,-1,Morgan Wallen - Thinkin’ Bout Me,223,42,,1314,33,0.5,39,,,,197,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,3,Tems - Me & U,3,143,,1311,56,0.006,,43,,,,,,,,,,,,,71,,,,,,77,,,,,,50,,,,,,,,,,,,,,10,,,,,,46,,,,,,,,122,,,,,
144,-7,Official髭男dism - Subtitle,289,109,,1307,0,0.411,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,12,Travis Scott - FEN,73,2,(x2),1301,93,0.446,125,,,127,,103,,161,,,,,,,125,,,,,,,119,,,,,93,46,,72,,,,,70,44,154,,,,76,,,88,66,,,,,,66,94,18,73,,,,49,,
146,-10,Junior H - $AD BOYZ II,6,122,,1289,-50,0.008,75,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,-7,MY FIRST STORY - I'm a mess,142,134,,1282,0,0.226,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,-5,JEON SOMI - Fast Forward,63,85,,1272,13,0.109,,,,,,,,,14,,,,,,,,,,97,,,,,,,19,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,56,,,
149,4,"twocolors, Safri Duo & Chris de Sarandy - Cynical",7,149,,1264,45,0.036,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,-2,Werenoi - Magot,20,84,,1260,15,0.031,,,,,,,8,,,,,,21,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,
151,-7,Vaundy - 怪獣の花唄,276,123,,1257,0,0.849,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,-1,"Bizarrap & Quevedo - Quevedo: Bzrp Music Sessions, Vol. 52",462,34,,1257,22,1.239,,,,,,,,35,,99,,,,,99,,82,59,,,,,,,,,,,25,,85,,,70,,,,,,,,,,,,,,,64,,,97,,,,,,,,
153,1,Olivia Rodrigo - all-american bitch,34,5,,1243,26,0.168,171,87,,,98,121,,,,,,,,113,,,,,,,44,,79,67,,,,,160,,,,,,,,,,,,,,,,,,,100,,76,,,,,,,,,,
154,17,Favé - Flashback,8,154,,1243,93,0.028,,,,,,,11,,,,,,22,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,
155,24,Olivia Rodrigo - the grudge,31,11,,1239,131,0.129,123,82,,,113,96,,,,,,,,,,,,,,,42,,96,92,,,,,,,,,,,,,,,,,,,50,,,,,,,134,,,,,,,,,,
156,-4,Mrs. GREEN APPLE - Magic,108,136,,1233,0,0.156,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1,(G)I-DLE - Queencard,149,32,,1222,18,0.348,,,95,,,,,,,,,,,,,,,,20,,,,,,,3,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,15,,,
158,3,Ninho - Eurostar,87,91,,1221,23,0.149,,,,,,,10,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,
159,-9,ANNA ASTI - Космически,12,142,,1220,-16,0.016,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,69,,,,,,,,,,,,,,,32,
160,12,Bad Bunny - Tití Me Preguntó,516,22,,1215,68,1.717,137,,,,,,,113,,55,,,,,115,,55,61,,,,,,,,,,,,,53,,,48,,,,,,,,,,,,,,,42,,,79,,,,,,,,
161,13,Tainy & Bad Bunny - MOJABI GHOST,102,52,,1211,72,0.186,,,,,,,,,,24,,,,,,,58,102,,,,,,,,,,,77,,40,,,14,,,,,,,,,,,,,,,17,,,,,,,,,,,
162,-6,Mrs. GREEN APPLE - ケセラセラ,162,132,,1209,0,0.222,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,-14,ANNA ASTI - Дурак,12,143,,1194,-49,0.016,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,39,,,,,,,,,,,,,,,44,
164,3,AYLIVA - Sie weiß,127,70,,1193,27,0.309,,,,21,,,,,,,,,,,79,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1,5UTRA - Давай сбежим,16,158,,1191,12,0.032,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,83,,,,,,,,,,,,,,,28,
166,-3,"Luca-Dante Spadafora, Niklas Dee, Octavian, Peter Plate & Ulf Leo Sommer - Mädchen auf dem Pferd",87,122,,1190,0,0.141,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,-8,Feid & Rema - BUBALU,17,102,,1188,-13,0.027,,,,,,,,,,143,,,,,,,2,21,,,,,,,,,,,70,,59,,,25,,,,,,,,,,,,,,,22,,,,,,,,,,,
168,29,Glass Animals - Heat Waves,1029,2,(x13),1177,131,6.607,,183,,,35,158,,,,,,,145,,61,,,,,,168,136,125,74,,,135,,,140,,,,,,,,,,,,,,,97,,,,,,155,,,,,,,,,
169,-9,A.V.G - Я плачу,69,135,,1175,-25,0.106,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,23,,71,,,,,,,,,,,,,,,66,
170,-15,AYLIVA - In deinen Armen,57,105,,1171,-41,0.127,,,,23,,,,,,,,,,,83,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,
171,17,Darell - Lollipop,2,171,,1169,85,0.009,,,,,,,,,,,,,,,,,23,2,,,,,,,,,,,41,,10,,,22,,,,,,,,,,,,,,,49,,,,,,,,,,,
172,1,tuki. - 晩餐歌,6,164,,1163,22,0.011,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,-4,Grupo Frontera & Bad Bunny - un x100to,177,35,,1163,-1,0.466,156,,,,,,,,,32,,,,,,,44,,,,,,,,,,,,38,,60,,,30,,,,,,,,,,,,,,,24,,,,,,,,,,,
174,-12,Fuerza Regida - Sabor Fresa,111,57,,1157,-33,0.21,115,,,,,,,,,8,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,16,Tiakola - Meuda,127,148,,1156,87,0.357,,,,,,,12,,,,,,31,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
176,10,Tiësto & Tate McRae - 10:35,331,9,,1153,67,1.491,,,,96,38,178,,,,,,,,,101,,,,,,,,61,107,,,,,,70,,,145,,,,,,,,,,,,,,,134,,,,,,,,,,,,
177,-12,Eslabon Armado & Peso Pluma - Ella Baila Sola,208,26,,1147,-36,0.62,86,,,,,,,,,38,,,,,,,63,134,,,,,,,,,,,62,,67,,,58,,,,,,,,,,,,,,,93,,,,,,,,,,,
178,=,Miley Cyrus - Used To Be Young,48,9,,1145,36,0.18,,105,,152,64,152,,,,,,,196,,,,,,,,59,,,83,,,,,,57,,,63,,,,,,,,,,,,,104,,,,161,,,,,,,60,,,
179,-9,Mrs. GREEN APPLE - Soranji,123,154,,1141,-22,0.372,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,-5,MACAN - ASPHALT 8,188,117,,1136,-2,0.272,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,28,,45,,,,,,,,,,,,,,,,
181,1,Kontra K - Summertime,60,112,,1123,25,0.088,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1,スピッツ - 美しい鰭,136,137,,1119,22,0.242,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,-2,Morgan Wallen - Chasin' You,224,87,,1117,17,0.816,67,,,,68,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,8,KAROL G & Shakira - TQG,227,20,,1115,49,0.646,,,,,,,177,,,75,,,,,,,24,41,,,,,,,,,,,34,,39,,,51,,,,,,,,,,,,,,,43,,,,,,,,,,,
185,19,Chris Brown - Under the Influence,432,2,(x17),1110,77,3.071,92,119,,,186,,,,,,,190,186,184,140,,,,,189,,,183,95,,,72,43,,,,,,,,,,,,,61,,,,,81,200,,,61,,,,64,,,,,,
186,20,Vance Joy - Riptide,673,48,,1106,77,1.739,,114,,,37,177,,,,,,,,,89,,,,,,103,,84,98,,,,,,155,,,182,,,,,,,,,,,,,,,167,,,,,,,,,,,,
187,7,SUICIDAL-IDOL - ecstacy,2,187,,1101,44,0.011,,,,61,,181,,,,,103,,,,168,,,,,,,,,,,,,,,50,,47,,,19,,144,,91,,,,,40,,,,,,,96,,,,,,,60,,
188,-12,IVE - Either Way,15,116,,1099,-30,0.021,,,145,,,,,,,,,143,,,,,,,19,,,,,,,12,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,27,,,154
189,-12,Mrs. GREEN APPLE - 青と夏,181,139,,1097,-22,1.254,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,50,Future - Low Life,1,190,,1093,145,0.07,63,,,,,69,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,58,,83,,,,,,,36,,,,,,,,,26,98,73,,,,,
191,-7,YOASOBI - 群青,333,127,,1091,-2,0.861,,,35,,,,,,,,,,,,,,,,49,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1,David Guetta & Bebe Rexha - I'm Good,411,4,,1090,30,3.029,,154,,85,97,165,,,,,,,138,,64,,,,,,158,,141,136,,,,,,78,,73,140,,,,195,,,,,,,,81,,,96,,,175,,,,178,,,,,
193,-4,Mrs. GREEN APPLE - ダンスホール,235,134,,1076,0,0.572,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,-7,Niaks - Mahmouma,3,187,,1073,-13,0.036,,,,,,,15,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,15,Zara Larsson & David Guetta - On My Love,1,195,,1067,46,0.018,,37,,,,,,,,,,,,,58,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,61,,,,,
196,11,Noah Kahan - Stick Season,1,196,,1064,37,0.02,135,161,,,,39,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,-17,Feid - FERXXO 30,4,180,,1064,-44,0.006,,,,,,,,,,158,,,,,,,3,30,,,,,,,,,,,106,,58,,,19,,,,,,,,,,,,,,,48,,,,,,,,,,,
198,NEW,Elton John & Dua Lipa - Cold Heart,787,1,(x41),1056,163,6.239,,,,,43,,,,,,,,,68,122,,,,,,151,,99,49,,,177,,93,,,,124,,,,,,,,,,,,92,,,172,,,157,,,,,,,,,
199,1,Jazzy - Giving Me,150,83,,1054,19,0.291,,44,,,,,,,,,,,,,117,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,
