,Chart Position,Artist and Title,Position Duration,Peak,(x?),Points,Country,Country Rank
8162,4,Drake - First Person Shooter,6,3,2,12624,KZ,72.0
8358,1,Doja Cat - Paint The Town Red,68,1,45,16920,LB,23.0
8359,2,Tate McRae - greedy,27,2,9,14619,LB,4.0
8360,3,Drake - IDGAF,6,3,1,13364,LB,2.0
8361,4,Drake - First Person Shooter,6,3,2,12624,LB,1.0
8362,5,Drake - Virginia Beach,6,2,2,12359,LB,3.0
8363,6,Olivia Rodrigo - vampire,104,1,22,10868,LB,20.0
8364,7,Taylor Swift - Cruel Summer,245,1,13,10731,LB,31.0
8375,18,Dua Lipa - Dance The Night,139,1,19,7035,LB,64.0
8379,22,Dave & Central Cee - Sprinter,132,2,20,6672,LB,24.0
8387,30,Billie Eilish - What Was I Made For,90,2,10,5425,LB,40.0
8389,32,Miley Cyrus - Flowers,272,1,168,5145,LB,45.0
8396,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,LB,30.0
8399,42,Harry Styles - As It Was,559,1,177,4017,LB,78.0
8405,48,David Kushner - Daylight,181,2,14,3657,LB,48.0
8406,49,The Weeknd - Blinding Lights,1354,1,114,3624,LB,55.0
8427,70,SZA - Kill Bill,307,1,3,2487,LB,42.0
8441,84,Travis Scott - MELTDOWN,76,1,3,1860,LB,60.0
8557,1,Doja Cat - Paint The Town Red,68,1,45,16920,LT,4.0
8558,2,Tate McRae - greedy,27,2,9,14619,LT,1.0
8559,3,Drake - IDGAF,6,3,1,13364,LT,2.0
8560,4,Drake - First Person Shooter,6,3,2,12624,LT,9.0
8561,5,Drake - Virginia Beach,6,2,2,12359,LT,27.0
8562,6,Olivia Rodrigo - vampire,104,1,22,10868,LT,13.0
8563,7,Taylor Swift - Cruel Summer,245,1,13,10731,LT,12.0
8574,18,Dua Lipa - Dance The Night,139,1,19,7035,LT,24.0
8578,22,Dave & Central Cee - Sprinter,132,2,20,6672,LT,26.0
8586,30,Billie Eilish - What Was I Made For,90,2,10,5425,LT,43.0
8588,32,Miley Cyrus - Flowers,272,1,168,5145,LT,41.0
8589,33,Taylor Swift - Anti-Hero,356,1,50,5108,LT,84.0
8595,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,LT,62.0
8598,42,Harry Styles - As It Was,559,1,177,4017,LT,30.0
8604,48,David Kushner - Daylight,181,2,14,3657,LT,35.0
8605,49,The Weeknd - Blinding Lights,1354,1,114,3624,LT,47.0
8626,70,SZA - Kill Bill,307,1,3,2487,LT,52.0
8640,84,Travis Scott - MELTDOWN,76,1,3,1860,LT,92.0
8679,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,LT,82.0
8701,145,Travis Scott - FEN,73,2,2,1301,LT,88.0
8756,1,Doja Cat - Paint The Town Red,68,1,45,16920,LU,5.0
8757,2,Tate McRae - greedy,27,2,9,14619,LU,3.0
8758,3,Drake - IDGAF,6,3,1,13364,LU,2.0
8759,4,Drake - First Person Shooter,6,3,2,12624,LU,7.0
8760,5,Drake - Virginia Beach,6,2,2,12359,LU,6.0
8761,6,Olivia Rodrigo - vampire,104,1,22,10868,LU,16.0
8762,7,Taylor Swift - Cruel Summer,245,1,13,10731,LU,56.0
8773,18,Dua Lipa - Dance The Night,139,1,19,7035,LU,22.0
8777,22,Dave & Central Cee - Sprinter,132,2,20,6672,LU,9.0
8785,30,Billie Eilish - What Was I Made For,90,2,10,5425,LU,26.0
8787,32,Miley Cyrus - Flowers,272,1,168,5145,LU,27.0
8788,33,Taylor Swift - Anti-Hero,356,1,50,5108,LU,45.0
8794,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,LU,67.0
8797,42,Harry Styles - As It Was,559,1,177,4017,LU,54.0
8803,48,David Kushner - Daylight,181,2,14,3657,LU,15.0
8804,49,The Weeknd - Blinding Lights,1354,1,114,3624,LU,64.0
8842,87,OneRepublic - I Ain't Worried,492,2,27,1833,LU,93.0
8878,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,LU,85.0
8900,145,Travis Scott - FEN,73,2,2,1301,LU,66.0
8923,168,Glass Animals - Heat Waves,1029,2,13,1177,LU,97.0
8953,198,Elton John & Dua Lipa - Cold Heart,787,1,41,1056,LU,92.0
8955,1,Doja Cat - Paint The Town Red,68,1,45,16920,MY,4.0
8956,2,Tate McRae - greedy,27,2,9,14619,MY,2.0
8957,3,Drake - IDGAF,6,3,1,13364,MY,194.0
8958,4,Drake - First Person Shooter,6,3,2,12624,MY,126.0
8959,5,Drake - Virginia Beach,6,2,2,12359,MY,151.0
8960,6,Olivia Rodrigo - vampire,104,1,22,10868,MY,5.0
8961,7,Taylor Swift - Cruel Summer,245,1,13,10731,MY,8.0
8972,18,Dua Lipa - Dance The Night,139,1,19,7035,MY,56.0
8976,22,Dave & Central Cee - Sprinter,132,2,20,6672,MY,190.0
8984,30,Billie Eilish - What Was I Made For,90,2,10,5425,MY,13.0
8986,32,Miley Cyrus - Flowers,272,1,168,5145,MY,71.0
8987,33,Taylor Swift - Anti-Hero,356,1,50,5108,MY,55.0
8993,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,MY,25.0
8996,42,Harry Styles - As It Was,559,1,177,4017,MY,51.0
9003,49,The Weeknd - Blinding Lights,1354,1,114,3624,MY,67.0
9016,62,Taylor Swift - Lover,412,3,13,2739,MY,45.0
9024,70,SZA - Kill Bill,307,1,3,2487,MY,18.0
9041,87,OneRepublic - I Ain't Worried,492,2,27,1833,MY,117.0
9065,111,Post Malone & Swae Lee - Sunflower,1087,3,19,1544,MY,109.0
9080,126,Ed Sheeran - Perfect,1982,1,2,1446,MY,47.0
9139,185,Chris Brown - Under the Influence,432,2,17,1110,MY,81.0
9156,3,Drake - IDGAF,6,3,1,13364,NG,95.0
9157,4,Drake - First Person Shooter,6,3,2,12624,NG,70.0
9158,5,Drake - Virginia Beach,6,2,2,12359,NG,88.0
9175,22,Dave & Central Cee - Sprinter,132,2,20,6672,NG,82.0
9338,185,Chris Brown - Under the Influence,432,2,17,1110,NG,200.0
9353,1,Doja Cat - Paint The Town Red,68,1,45,16920,NO,3.0
9354,2,Tate McRae - greedy,27,2,9,14619,NO,1.0
9355,3,Drake - IDGAF,6,3,1,13364,NO,7.0
9356,4,Drake - First Person Shooter,6,3,2,12624,NO,5.0
9357,5,Drake - Virginia Beach,6,2,2,12359,NO,8.0
9358,6,Olivia Rodrigo - vampire,104,1,22,10868,NO,9.0
9359,7,Taylor Swift - Cruel Summer,245,1,13,10731,NO,19.0
9370,18,Dua Lipa - Dance The Night,139,1,19,7035,NO,11.0
9374,22,Dave & Central Cee - Sprinter,132,2,20,6672,NO,16.0
9382,30,Billie Eilish - What Was I Made For,90,2,10,5425,NO,13.0
9384,32,Miley Cyrus - Flowers,272,1,168,5145,NO,30.0
9385,33,Taylor Swift - Anti-Hero,356,1,50,5108,NO,53.0
9391,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,NO,74.0
9394,42,Harry Styles - As It Was,559,1,177,4017,NO,50.0
9400,48,David Kushner - Daylight,181,2,14,3657,NO,24.0
9401,49,The Weeknd - Blinding Lights,1354,1,114,3624,NO,26.0
9414,62,Taylor Swift - Lover,412,3,13,2739,NO,83.0
9422,70,SZA - Kill Bill,307,1,3,2487,NO,115.0
9439,87,OneRepublic - I Ain't Worried,492,2,27,1833,NO,124.0
9463,111,Post Malone & Swae Lee - Sunflower,1087,3,19,1544,NO,135.0
9475,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,NO,84.0
9478,126,Ed Sheeran - Perfect,1982,1,2,1446,NO,43.0
9550,198,Elton John & Dua Lipa - Cold Heart,787,1,41,1056,NO,172.0
9552,1,Doja Cat - Paint The Town Red,68,1,45,16920,PE,133.0
9553,2,Tate McRae - greedy,27,2,9,14619,PE,152.0
9557,6,Olivia Rodrigo - vampire,104,1,22,10868,PE,108.0
9558,7,Taylor Swift - Cruel Summer,245,1,13,10731,PE,96.0
9593,42,Harry Styles - As It Was,559,1,177,4017,PE,130.0
9613,62,Taylor Swift - Lover,412,3,13,2739,PE,160.0
9751,1,Doja Cat - Paint The Town Red,68,1,45,16920,PH,6.0
9752,2,Tate McRae - greedy,27,2,9,14619,PH,7.0
9754,4,Drake - First Person Shooter,6,3,2,12624,PH,103.0
9755,5,Drake - Virginia Beach,6,2,2,12359,PH,98.0
9756,6,Olivia Rodrigo - vampire,104,1,22,10868,PH,10.0
9757,7,Taylor Swift - Cruel Summer,245,1,13,10731,PH,2.0
9768,18,Dua Lipa - Dance The Night,139,1,19,7035,PH,88.0
9780,30,Billie Eilish - What Was I Made For,90,2,10,5425,PH,20.0
9782,32,Miley Cyrus - Flowers,272,1,168,5145,PH,140.0
9783,33,Taylor Swift - Anti-Hero,356,1,50,5108,PH,16.0
9789,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,PH,110.0
9792,42,Harry Styles - As It Was,559,1,177,4017,PH,85.0
9812,62,Taylor Swift - Lover,412,3,13,2739,PH,12.0
9820,70,SZA - Kill Bill,307,1,3,2487,PH,54.0
9861,111,Post Malone & Swae Lee - Sunflower,1087,3,19,1544,PH,167.0
9876,126,Ed Sheeran - Perfect,1982,1,2,1446,PH,178.0
9935,185,Chris Brown - Under the Influence,432,2,17,1110,PH,61.0
9950,1,Doja Cat - Paint The Town Red,68,1,45,16920,PL,2.0
9951,2,Tate McRae - greedy,27,2,9,14619,PL,1.0
9952,3,Drake - IDGAF,6,3,1,13364,PL,6.0
9953,4,Drake - First Person Shooter,6,3,2,12624,PL,34.0
9954,5,Drake - Virginia Beach,6,2,2,12359,PL,39.0
9955,6,Olivia Rodrigo - vampire,104,1,22,10868,PL,48.0
9956,7,Taylor Swift - Cruel Summer,245,1,13,10731,PL,51.0
9967,18,Dua Lipa - Dance The Night,139,1,19,7035,PL,23.0
9971,22,Dave & Central Cee - Sprinter,132,2,20,6672,PL,56.0
9979,30,Billie Eilish - What Was I Made For,90,2,10,5425,PL,67.0
9981,32,Miley Cyrus - Flowers,272,1,168,5145,PL,38.0
9982,33,Taylor Swift - Anti-Hero,356,1,50,5108,PL,110.0
9988,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,PL,97.0
9991,42,Harry Styles - As It Was,559,1,177,4017,PL,47.0
9997,48,David Kushner - Daylight,181,2,14,3657,PL,28.0
9998,49,The Weeknd - Blinding Lights,1354,1,114,3624,PL,53.0
10033,84,Travis Scott - MELTDOWN,76,1,3,1860,PL,93.0
10036,87,OneRepublic - I Ain't Worried,492,2,27,1833,PL,65.0
10072,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,PL,105.0
10075,126,Ed Sheeran - Perfect,1982,1,2,1446,PL,142.0
10094,145,Travis Scott - FEN,73,2,2,1301,PL,66.0
10117,168,Glass Animals - Heat Waves,1029,2,13,1177,PL,155.0
10147,198,Elton John & Dua Lipa - Cold Heart,787,1,41,1056,PL,157.0
10149,1,Doja Cat - Paint The Town Red,68,1,45,16920,PT,23.0
10150,2,Tate McRae - greedy,27,2,9,14619,PT,6.0
10151,3,Drake - IDGAF,6,3,1,13364,PT,3.0
10152,4,Drake - First Person Shooter,6,3,2,12624,PT,4.0
10153,5,Drake - Virginia Beach,6,2,2,12359,PT,2.0
10154,6,Olivia Rodrigo - vampire,104,1,22,10868,PT,28.0
10155,7,Taylor Swift - Cruel Summer,245,1,13,10731,PT,60.0
10166,18,Dua Lipa - Dance The Night,139,1,19,7035,PT,76.0
10170,22,Dave & Central Cee - Sprinter,132,2,20,6672,PT,24.0
10178,30,Billie Eilish - What Was I Made For,90,2,10,5425,PT,40.0
10180,32,Miley Cyrus - Flowers,272,1,168,5145,PT,74.0
10190,42,Harry Styles - As It Was,559,1,177,4017,PT,69.0
10197,49,The Weeknd - Blinding Lights,1354,1,114,3624,PT,99.0
10232,84,Travis Scott - MELTDOWN,76,1,3,1860,PT,65.0
10293,145,Travis Scott - FEN,73,2,2,1301,PT,94.0
10348,1,Doja Cat - Paint The Town Red,68,1,45,16920,RO,13.0
10349,2,Tate McRae - greedy,27,2,9,14619,RO,4.0
10350,3,Drake - IDGAF,6,3,1,13364,RO,1.0
10351,4,Drake - First Person Shooter,6,3,2,12624,RO,5.0
10352,5,Drake - Virginia Beach,6,2,2,12359,RO,6.0
10353,6,Olivia Rodrigo - vampire,104,1,22,10868,RO,90.0
10354,7,Taylor Swift - Cruel Summer,245,1,13,10731,RO,157.0
10369,22,Dave & Central Cee - Sprinter,132,2,20,6672,RO,91.0
10431,84,Travis Scott - MELTDOWN,76,1,3,1860,RO,52.0
10492,145,Travis Scott - FEN,73,2,2,1301,RO,18.0
10547,1,Doja Cat - Paint The Town Red,68,1,45,16920,SA,14.0
10548,2,Tate McRae - greedy,27,2,9,14619,SA,4.0
10549,3,Drake - IDGAF,6,3,1,13364,SA,3.0
10550,4,Drake - First Person Shooter,6,3,2,12624,SA,1.0
10551,5,Drake - Virginia Beach,6,2,2,12359,SA,2.0
10552,6,Olivia Rodrigo - vampire,104,1,22,10868,SA,26.0
10553,7,Taylor Swift - Cruel Summer,245,1,13,10731,SA,22.0
10564,18,Dua Lipa - Dance The Night,139,1,19,7035,SA,80.0
10568,22,Dave & Central Cee - Sprinter,132,2,20,6672,SA,49.0
10576,30,Billie Eilish - What Was I Made For,90,2,10,5425,SA,55.0
10579,33,Taylor Swift - Anti-Hero,356,1,50,5108,SA,75.0
10585,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,SA,40.0
10588,42,Harry Styles - As It Was,559,1,177,4017,SA,72.0
10594,48,David Kushner - Daylight,181,2,14,3657,SA,91.0
10595,49,The Weeknd - Blinding Lights,1354,1,114,3624,SA,52.0
10608,62,Taylor Swift - Lover,412,3,13,2739,SA,77.0
10616,70,SZA - Kill Bill,307,1,3,2487,SA,35.0
10630,84,Travis Scott - MELTDOWN,76,1,3,1860,SA,45.0
10672,126,Ed Sheeran - Perfect,1982,1,2,1446,SA,88.0
10691,145,Travis Scott - FEN,73,2,2,1301,SA,73.0
10731,185,Chris Brown - Under the Influence,432,2,17,1110,SA,64.0
10746,1,Doja Cat - Paint The Town Red,68,1,45,16920,SE,6.0
10747,2,Tate McRae - greedy,27,2,9,14619,SE,7.0
10748,3,Drake - IDGAF,6,3,1,13364,SE,4.0
10749,4,Drake - First Person Shooter,6,3,2,12624,SE,3.0
10750,5,Drake - Virginia Beach,6,2,2,12359,SE,2.0
10751,6,Olivia Rodrigo - vampire,104,1,22,10868,SE,12.0
10752,7,Taylor Swift - Cruel Summer,245,1,13,10731,SE,15.0
10763,18,Dua Lipa - Dance The Night,139,1,19,7035,SE,27.0
10767,22,Dave & Central Cee - Sprinter,132,2,20,6672,SE,10.0
10775,30,Billie Eilish - What Was I Made For,90,2,10,5425,SE,26.0
10777,32,Miley Cyrus - Flowers,272,1,168,5145,SE,41.0
10778,33,Taylor Swift - Anti-Hero,356,1,50,5108,SE,37.0
10784,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,SE,58.0
10787,42,Harry Styles - As It Was,559,1,177,4017,SE,65.0
10793,48,David Kushner - Daylight,181,2,14,3657,SE,92.0
10794,49,The Weeknd - Blinding Lights,1354,1,114,3624,SE,51.0
10807,62,Taylor Swift - Lover,412,3,13,2739,SE,164.0
10815,70,SZA - Kill Bill,307,1,3,2487,SE,100.0
10829,84,Travis Scott - MELTDOWN,76,1,3,1860,SE,184.0
10856,111,Post Malone & Swae Lee - Sunflower,1087,3,19,1544,SE,193.0
10868,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,SE,107.0
10871,126,Ed Sheeran - Perfect,1982,1,2,1446,SE,76.0
10945,1,Doja Cat - Paint The Town Red,68,1,45,16920,SI,15.0
10946,2,Tate McRae - greedy,27,2,9,14619,SI,1.0
10947,3,Drake - IDGAF,6,3,1,13364,SI,2.0
10948,4,Drake - First Person Shooter,6,3,2,12624,SI,11.0
10949,5,Drake - Virginia Beach,6,2,2,12359,SI,13.0
10950,6,Olivia Rodrigo - vampire,104,1,22,10868,SI,24.0
10951,7,Taylor Swift - Cruel Summer,245,1,13,10731,SI,29.0
10962,18,Dua Lipa - Dance The Night,139,1,19,7035,SI,87.0
10966,22,Dave & Central Cee - Sprinter,132,2,20,6672,SI,37.0
11144,1,Doja Cat - Paint The Town Red,68,1,45,16920,SG,5.0
11145,2,Tate McRae - greedy,27,2,9,14619,SG,2.0
11146,3,Drake - IDGAF,6,3,1,13364,SG,54.0
11147,4,Drake - First Person Shooter,6,3,2,12624,SG,49.0
11148,5,Drake - Virginia Beach,6,2,2,12359,SG,61.0
11149,6,Olivia Rodrigo - vampire,104,1,22,10868,SG,7.0
11150,7,Taylor Swift - Cruel Summer,245,1,13,10731,SG,4.0
11161,18,Dua Lipa - Dance The Night,139,1,19,7035,SG,13.0
11173,30,Billie Eilish - What Was I Made For,90,2,10,5425,SG,11.0
11175,32,Miley Cyrus - Flowers,272,1,168,5145,SG,35.0
11176,33,Taylor Swift - Anti-Hero,356,1,50,5108,SG,16.0
11182,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,SG,21.0
11185,42,Harry Styles - As It Was,559,1,177,4017,SG,30.0
11192,49,The Weeknd - Blinding Lights,1354,1,114,3624,SG,47.0
11205,62,Taylor Swift - Lover,412,3,13,2739,SG,28.0
11213,70,SZA - Kill Bill,307,1,3,2487,SG,57.0
11230,87,OneRepublic - I Ain't Worried,492,2,27,1833,SG,44.0
11254,111,Post Malone & Swae Lee - Sunflower,1087,3,19,1544,SG,51.0
11269,126,Ed Sheeran - Perfect,1982,1,2,1446,SG,24.0
11343,1,Doja Cat - Paint The Town Red,68,1,45,16920,SK,1.0
11344,2,Tate McRae - greedy,27,2,9,14619,SK,2.0
11345,3,Drake - IDGAF,6,3,1,13364,SK,6.0
11346,4,Drake - First Person Shooter,6,3,2,12624,SK,16.0
11347,5,Drake - Virginia Beach,6,2,2,12359,SK,15.0
11348,6,Olivia Rodrigo - vampire,104,1,22,10868,SK,38.0
11349,7,Taylor Swift - Cruel Summer,245,1,13,10731,SK,40.0
11360,18,Dua Lipa - Dance The Night,139,1,19,7035,SK,39.0
11364,22,Dave & Central Cee - Sprinter,132,2,20,6672,SK,24.0
11374,32,Miley Cyrus - Flowers,272,1,168,5145,SK,54.0
11381,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,SK,70.0
11390,48,David Kushner - Daylight,181,2,14,3657,SK,62.0
11391,49,The Weeknd - Blinding Lights,1354,1,114,3624,SK,76.0
11426,84,Travis Scott - MELTDOWN,76,1,3,1860,SK,100.0
11487,145,Travis Scott - FEN,73,2,2,1301,SK,49.0
11542,1,Doja Cat - Paint The Town Red,68,1,45,16920,UA,2.0
11543,2,Tate McRae - greedy,27,2,9,14619,UA,1.0
11544,3,Drake - IDGAF,6,3,1,13364,UA,50.0
11573,32,Miley Cyrus - Flowers,272,1,168,5145,UA,70.0
11589,48,David Kushner - Daylight,181,2,14,3657,UA,45.0
11590,49,The Weeknd - Blinding Lights,1354,1,114,3624,UA,97.0
11741,1,Doja Cat - Paint The Town Red,68,1,45,16920,VN,13.0
11742,2,Tate McRae - greedy,27,2,9,14619,VN,27.0
11746,6,Olivia Rodrigo - vampire,104,1,22,10868,VN,52.0
11747,7,Taylor Swift - Cruel Summer,245,1,13,10731,VN,28.0
11770,30,Billie Eilish - What Was I Made For,90,2,10,5425,VN,166.0
11773,33,Taylor Swift - Anti-Hero,356,1,50,5108,VN,146.0
11802,62,Taylor Swift - Lover,412,3,13,2739,VN,116.0
11810,70,SZA - Kill Bill,307,1,3,2487,VN,104.0
