"","Index","Artist Name","Valence","Danceability","Energy","Loudness","Speechiness","Acousticness","Tempo","Liveness","Track Name","Album Name","Album Release Year"
"196",196,"Drake",0.0674,0.643,0.178,-8.56,0.0588,0.484,85.042,0.122,"Can I","Care Package",2019
"197",197,"Drake",0.145,0.555,0.596,-9.09,0.375,0.133,77.324,0.123,"Survival","Scorpion",2018
"198",198,"Drake",0.423,0.912,0.412,-8.074,0.123,0.0165,154.983,0.104,"Nonstop","Scorpion",2018
"199",199,"Drake",0.0542,0.758,0.474,-8.72,0.147,0.0152,76.061,0.116,"Elevate","Scorpion",2018
"200",200,"Drake",0.0853,0.414,0.677,-5.12,0.254,0.0248,172.521,0.0793,"Emotionless","Scorpion",2018
"201",201,"Drake",0.357,0.754,0.449,-9.211,0.109,0.0332,77.169,0.552,"God's Plan","Scorpion",2018
"202",202,"Drake",0.492,0.899,0.586,-7.866,0.343,0.279,150.002,0.0836,"I'm Upset","Scorpion",2018
"203",203,"Drake",0.31,0.527,0.689,-7.87,0.741,0.161,170.538,0.498,"8 Out Of 10","Scorpion",2018
"204",204,"Drake",0.491,0.754,0.575,-8.393,0.0682,0.045,86.009,0.276,"Mob Ties","Scorpion",2018
"205",205,"Drake",0.446,0.761,0.598,-7.249,0.182,0.126,173.897,0.0839,"Can’t Take A Joke","Scorpion",2018
"206",206,"Drake",0.519,0.486,0.849,-5.432,0.246,0.0481,152.086,0.143,"Sandra’s Rose","Scorpion",2018
"207",207,"Drake",0.334,0.758,0.491,-9.877,0.138,0.00354,140.121,0.292,"Talk Up (feat. Jay-Z)","Scorpion",2018
"208",208,"Drake",0.549,0.708,0.547,-7.607,0.314,0.727,83.8,0.159,"Is There More","Scorpion",2018
"209",209,"Drake",0.269,0.687,0.218,-13.539,0.0388,0.85,91.991,0.106,"Peak","Scorpion",2018
"210",210,"Drake",0.134,0.776,0.482,-11.269,0.0357,0.477,136.008,0.11,"Summer Games","Scorpion",2018
"211",211,"Drake",0.0371,0.764,0.271,-5.697,0.0414,0.037,116.019,0.175,"Jaded","Scorpion",2018
"212",212,"Drake",0.758,0.585,0.909,-6.474,0.0707,0.0891,93.372,0.119,"Nice For What","Scorpion",2018
"213",213,"Drake",0.299,0.807,0.319,-8.152,0.0581,0.133,94.992,0.101,"Finesse","Scorpion",2018
"214",214,"Drake",0.622,0.657,0.571,-12.519,0.139,0.11,167.958,0.0735,"Ratchet Happy Birthday","Scorpion",2018
"215",215,"Drake",0.38,0.85,0.473,-5.747,0.209,0.117,85.454,0.108,"That’s How You Feel","Scorpion",2018
"216",216,"Drake",0.123,0.889,0.372,-10.254,0.357,0.013,133.997,0.184,"Blue Tint","Scorpion",2018
"217",217,"Drake",0.35,0.835,0.626,-5.833,0.125,0.0589,91.03,0.396,"In My Feelings","Scorpion",2018
"218",218,"Drake",0.138,0.822,0.318,-12.391,0.0575,0.493,102.998,0.11,"Don’t Matter To Me (with Michael Jackson)","Scorpion",2018
"219",219,"Drake",0.336,0.687,0.429,-13.075,0.192,0.0407,141.966,0.142,"After Dark (feat. Static Major & Ty Dolla $ign)","Scorpion",2018
"220",220,"Drake",0.104,0.5,0.449,-10.977,0.442,0.422,144.206,0.115,"Final Fantasy","Scorpion",2018
"221",221,"Drake",0.318,0.558,0.414,-7.355,0.358,0.405,127.094,0.36,"14-Mar","Scorpion",2018
"222",222,"Drake",0.203,0.736,0.491,-6.892,0.439,0.0681,141.979,0.571,"Free Smoke","More Life",2017
"223",223,"Drake",0.578,0.913,0.608,-6.839,0.234,0.0671,97.063,0.533,"No Long Talk","More Life",2017
"224",224,"Drake",0.364,0.809,0.463,-11.377,0.0396,0.256,111.98,0.109,"Passionfruit","More Life",2017
"225",225,"Drake",0.237,0.735,0.373,-10.478,0.104,0.762,123.081,0.288,"Jorja Interlude","More Life",2017
"226",226,"Drake",0.849,0.781,0.721,-9.133,0.0514,0.0945,123.011,0.104,"Get It Together","More Life",2017
"227",227,"Drake",0.33,0.839,0.521,-10.45,0.166,0.245,105.992,0.607,"Madiba Riddim","More Life",2017
"228",228,"Drake",0.375,0.726,0.535,-7.804,0.0476,0.0533,98.067,0.0984,"Blem","More Life",2017
"229",229,"Drake",0.19,0.609,0.229,-12.36,0.0333,0.558,111.887,0.113,"4422","More Life",2017
"230",230,"Drake",0.122,0.877,0.391,-8.196,0.063,0.0317,131.018,0.0945,"Gyalchester","More Life",2017
"231",231,"Drake",0.415,0.745,0.822,-6.354,0.252,0.0103,86.733,0.155,"Skepta Interlude","More Life",2017
"232",232,"Drake",0.35,0.925,0.443,-8.216,0.264,0.0172,136.078,0.276,"Portland","More Life",2017
"233",233,"Drake",0.532,0.903,0.439,-11.813,0.397,0.0407,139.112,0.138,"Sacrifices","More Life",2017
"234",234,"Drake",0.256,0.766,0.234,-7.544,0.159,0.332,96.882,0.358,"Nothings Into Somethings","More Life",2017
"235",235,"Drake",0.144,0.766,0.283,-10.33,0.0846,0.111,97.04,0.115,"Teenage Fever","More Life",2017
"236",236,"Drake",0.0906,0.875,0.6,-6.818,0.0435,0.0189,119.987,0.132,"KMT","More Life",2017
"237",237,"Drake",0.378,0.526,0.583,-9.172,0.376,0.699,89.837,0.372,"Lose You","More Life",2017
"238",238,"Drake",0.454,0.856,0.572,-8.429,0.373,0.0136,82.445,0.121,"Can't Have Everything","More Life",2017
"239",239,"Drake",0.432,0.688,0.384,-8.824,0.375,0.2,162.098,0.708,"Glow","More Life",2017
"240",240,"Drake",0.222,0.468,0.266,-11.121,0.13,0.348,153.294,0.209,"Since Way Back","More Life",2017
"241",241,"Drake",0.613,0.928,0.481,-9.35,0.287,0.105,134.007,0.176,"Fake Love","More Life",2017
"242",242,"Drake",0.598,0.813,0.551,-7.605,0.353,0.08,124.957,0.386,"Ice Melts","More Life",2017
"243",243,"Drake",0.454,0.618,0.693,-5.943,0.45,0.246,170.982,0.112,"Do Not Disturb","More Life",2017
"244",244,"Drake",0.196,0.378,0.566,-7.685,0.0482,0.149,87.691,0.382,"Keep The Family Close","Views",2016
"245",245,"Drake",0.0379,0.68,0.712,-7.184,0.0453,0.000803,100.009,0.237,"9","Views",2016
"246",246,"Drake",0.125,0.429,0.43,-11.373,0.165,0.338,174.983,0.138,"U With Me?","Views",2016
"247",247,"Drake",0.205,0.582,0.677,-7.081,0.172,0.0312,193.818,0.122,"Feel No Ways","Views",2016
"248",248,"Drake",0.237,0.787,0.635,-8.271,0.155,0.0253,130.018,0.357,"Hype","Views",2016
"249",249,"Drake",0.35,0.623,0.74,-6.942,0.307,0.0635,82.877,0.366,"Weston Road Flows","Views",2016
"250",250,"Drake",0.341,0.694,0.314,-7.82,0.116,0.611,119.905,0.117,"Redemption","Views",2016
"251",251,"Drake",0.784,0.878,0.406,-9.961,0.248,0.134,128.014,0.112,"With You","Views",2016
"252",252,"Drake",0.171,0.536,0.449,-10.499,0.103,0.11,99.889,0.284,"Faithful","Views",2016
"253",253,"Drake",0.229,0.834,0.433,-9.607,0.174,0.0258,133.938,0.633,"Still Here","Views",2016
"254",254,"Drake",0.349,0.59,0.468,-11.083,0.185,0.0789,92.287,0.101,"Controlla","Views",2016
"255",255,"Drake",0.37,0.792,0.625,-5.609,0.0536,0.00776,103.967,0.329,"One Dance","Views",2016
"256",256,"Drake",0.12,0.676,0.432,-9.51,0.502,0.00163,145.869,0.0799,"Grammys","Views",2016
"257",257,"Drake",0.292,0.746,0.475,-11.243,0.113,0.0175,80.006,0.197,"Childs Play","Views",2016
"258",258,"Drake",0.0594,0.713,0.462,-10.027,0.123,0.192,133.053,0.105,"Pop Style","Views",2016
"259",259,"Drake",0.397,0.794,0.653,-7.839,0.104,0.0489,117.996,0.1,"Too Good","Views",2016
"260",260,"Drake",0.242,0.699,0.255,-8.647,0.0303,0.405,132.031,0.0985,"Summers Over Interlude","Views",2016
"261",261,"Drake",0.275,0.722,0.252,-14.411,0.0761,0.0671,79.923,0.0852,"Fire & Desire","Views",2016
"262",262,"Drake",0.112,0.395,0.852,-5.896,0.37,0.0657,76.428,0.262,"Views","Views",2016
"263",263,"Drake",0.552,0.891,0.628,-7.863,0.0551,0.00258,134.966,0.0504,"Hotline Bling","Views",2016
"264",264,"Drake",0.276,0.881,0.546,-7.566,0.12,0.00296,140.032,0.226,"Digital Dash","What A Time To Be Alive",2015
"265",265,"Drake",0.27,0.776,0.675,-6.224,0.266,0.00196,131.984,0.227,"Big Rings","What A Time To Be Alive",2015
"266",266,"Drake",0.307,0.824,0.49,-8.391,0.429,0.0369,165.948,0.0807,"Live From The Gutter","What A Time To Be Alive",2015
"267",267,"Drake",0.171,0.51,0.358,-10.847,0.0467,0.125,136.036,0.111,"Diamonds Dancing","What A Time To Be Alive",2015
"268",268,"Drake",0.259,0.739,0.416,-9.319,0.285,0.0966,109.168,0.1,"Scholarships","What A Time To Be Alive",2015
"269",269,"Drake",0.35,0.845,0.479,-6.065,0.298,0.0104,170.919,0.157,"Plastic Bag","What A Time To Be Alive",2015
"270",270,"Drake",0.254,0.828,0.55,-9.158,0.255,0.000379,160.016,0.134,"I'm The Plug","What A Time To Be Alive",2015
"271",271,"Drake",0.209,0.787,0.329,-9.991,0.391,0.0207,137.85,0.118,"Change Locations","What A Time To Be Alive",2015
"272",272,"Drake",0.656,0.852,0.553,-7.286,0.187,0.0559,142.079,0.332,"Jumpman","What A Time To Be Alive",2015
"273",273,"Drake",0.312,0.758,0.526,-10.81,0.255,0.513,146.054,0.0913,"Jersey","What A Time To Be Alive",2015
"274",274,"Drake",0.317,0.744,0.619,-9.143,0.398,0.671,89.252,0.123,"30 for 30 Freestyle","What A Time To Be Alive",2015
"275",275,"Drake",0.31,0.714,0.563,-7.574,0.0723,0.0266,100.091,0.0776,"Legend","If You're Reading This It's Too Late",2015
"276",276,"Drake",0.553,0.747,0.571,-7.916,0.478,0.38,172.104,0.534,"Energy","If You're Reading This It's Too Late",2015
"277",277,"Drake",0.888,0.825,0.756,-3.687,0.383,0.265,172.938,0.0762,"10 Bands","If You're Reading This It's Too Late",2015
"278",278,"Drake",0.179,0.72,0.412,-8.687,0.223,0.196,114.408,0.342,"Know Yourself","If You're Reading This It's Too Late",2015
"279",279,"Drake",0.618,0.823,0.467,-10.394,0.301,0.543,95.026,0.135,"No Tellin'","If You're Reading This It's Too Late",2015
"280",280,"Drake",0.142,0.905,0.492,-8.598,0.0595,0.0149,110.017,0.371,"Madonna","If You're Reading This It's Too Late",2015
"281",281,"Drake",0.498,0.868,0.623,-8.595,0.101,0.0249,105.446,0.125,"6 God","If You're Reading This It's Too Late",2015
"282",282,"Drake",0.166,0.521,0.392,-7.88,0.17,0.747,91.939,0.198,"Star67","If You're Reading This It's Too Late",2015
"283",283,"Drake",0.389,0.605,0.51,-8.094,0.423,0.165,65.255,0.104,"Preach","If You're Reading This It's Too Late",2015
"284",284,"Drake",0.195,0.312,0.466,-8.163,0.0509,0.729,135.44,0.215,"Wednesday Night Interlude","If You're Reading This It's Too Late",2015
"285",285,"Drake",0.304,0.926,0.427,-7.584,0.105,0.0703,96.025,0.0818,"Used To","If You're Reading This It's Too Late",2015
"286",286,"Drake",0.326,0.568,0.535,-9.306,0.513,0.217,83.589,0.114,"6 Man","If You're Reading This It's Too Late",2015
"287",287,"Drake",0.098,0.555,0.481,-7.419,0.0322,0.124,107.793,0.101,"Now & Forever","If You're Reading This It's Too Late",2015
"288",288,"Drake",0.119,0.651,0.55,-8.215,0.0496,0.0403,107.567,0.165,"Company","If You're Reading This It's Too Late",2015
"289",289,"Drake",0.223,0.545,0.476,-7.444,0.284,0.168,154.362,0.13,"You & The 6","If You're Reading This It's Too Late",2015
"290",290,"Drake",0.378,0.697,0.235,-8.651,0.0534,0.62,99.947,0.107,"Jungle","If You're Reading This It's Too Late",2015
"291",291,"Drake",0.383,0.554,0.85,-4.155,0.251,0.107,128.429,0.155,"6PM In New York","If You're Reading This It's Too Late",2015
"292",292,"Drake",0.3,0.597,0.679,-5.401,0.39,0.115,79.95,0.231,"Tuscan Leather","Nothing Was The Same (Deluxe)",2013
"293",293,"Drake",0.271,0.484,0.78,-5.264,0.135,0.147,137.101,0.057,"Furthest Thing","Nothing Was The Same (Deluxe)",2013
"294",294,"Drake",0.567,0.794,0.522,-7.829,0.159,0.0328,86.318,0.156,"Started From the Bottom","Nothing Was The Same (Deluxe)",2013
"295",295,"Drake",0.369,0.832,0.427,-8.516,0.257,0.0474,99.935,0.101,"Wu-Tang Forever","Nothing Was The Same (Deluxe)",2013
"296",296,"Drake",0.294,0.654,0.342,-11.305,0.101,0.0487,103.064,0.313,"Own It","Nothing Was The Same (Deluxe)",2013
"297",297,"Drake",0.414,0.779,0.799,-6.359,0.15,0.158,109.944,0.209,"Worst Behavior","Nothing Was The Same (Deluxe)",2013
"298",298,"Drake",0.448,0.738,0.491,-9.726,0.413,0.626,94.378,0.126,"From Time","Nothing Was The Same (Deluxe)",2013
"299",299,"Drake",0.287,0.776,0.413,-7.438,0.0952,0.00415,100.003,0.0724,"Hold On, We're Going Home","Nothing Was The Same (Deluxe)",2013
"300",300,"Drake",0.469,0.683,0.488,-9.473,0.135,0.408,75.039,0.132,"Connect","Nothing Was The Same (Deluxe)",2013
"301",301,"Drake",0.502,0.831,0.651,-8.363,0.437,0.0125,120.064,0.0809,"The Language","Nothing Was The Same (Deluxe)",2013
"302",302,"Drake",0.134,0.419,0.494,-8.782,0.345,0.0567,67.622,0.144,"305 To My City","Nothing Was The Same (Deluxe)",2013
"303",303,"Drake",0.148,0.637,0.569,-5.858,0.55,0.173,140.269,0.18,"Too Much","Nothing Was The Same (Deluxe)",2013
"304",304,"Drake",0.264,0.521,0.762,-6.75,0.534,0.139,164.289,0.114,"Pound Cake / Paris Morton Music 2","Nothing Was The Same (Deluxe)",2013
"305",305,"Drake",0.405,0.558,0.468,-5.812,0.173,0.159,81.977,0.586,"Come Thru","Nothing Was The Same (Deluxe)",2013
"306",306,"Drake",0.422,0.67,0.515,-6.977,0.397,0.0705,122.006,0.25,"All Me","Nothing Was The Same (Deluxe)",2013
"307",307,"Drake",0.296,0.522,0.679,-5.401,0.405,0.114,79.849,0.231,"Tuscan Leather","Nothing Was The Same",2013
"308",308,"Drake",0.271,0.484,0.78,-5.264,0.135,0.147,137.105,0.0572,"Furthest Thing","Nothing Was The Same",2013
"309",309,"Drake",0.579,0.793,0.524,-7.827,0.156,0.0319,86.325,0.156,"Started From the Bottom","Nothing Was The Same",2013
"310",310,"Drake",0.368,0.836,0.427,-8.516,0.27,0.0474,99.912,0.101,"Wu-Tang Forever","Nothing Was The Same",2013
"311",311,"Drake",0.292,0.653,0.341,-11.305,0.102,0.0481,103.061,0.312,"Own It","Nothing Was The Same",2013
"312",312,"Drake",0.414,0.78,0.799,-6.359,0.15,0.158,109.944,0.209,"Worst Behavior","Nothing Was The Same",2013
"313",313,"Drake",0.448,0.739,0.491,-9.726,0.413,0.626,94.391,0.126,"From Time","Nothing Was The Same",2013
"314",314,"Drake",0.287,0.777,0.414,-7.44,0.0946,0.00421,100.002,0.0724,"Hold On, We're Going Home","Nothing Was The Same",2013
"315",315,"Drake",0.465,0.683,0.49,-9.469,0.135,0.406,75.03,0.132,"Connect","Nothing Was The Same",2013
"316",316,"Drake",0.502,0.831,0.651,-8.363,0.437,0.0125,120.065,0.0809,"The Language","Nothing Was The Same",2013
"317",317,"Drake",0.132,0.419,0.495,-8.781,0.348,0.056,67.622,0.144,"305 To My City","Nothing Was The Same",2013
"318",318,"Drake",0.147,0.681,0.569,-5.859,0.546,0.173,140.532,0.18,"Too Much","Nothing Was The Same",2013
"319",319,"Drake",0.264,0.52,0.761,-6.75,0.536,0.139,164.083,0.114,"Pound Cake / Paris Morton Music 2","Nothing Was The Same",2013
"320",320,"Drake",0.584,0.489,0.57,-10.291,0.306,0.759,185.516,0.179,"Over My Dead Body","Take Care (Deluxe)",2011
"321",321,"Drake",0.177,0.566,0.465,-11.714,0.235,0.0555,143.015,0.567,"Shot For Me","Take Care (Deluxe)",2011
"322",322,"Drake",0.425,0.636,0.566,-7.16,0.106,0.365,151.894,0.0917,"Headlines","Take Care (Deluxe)",2011
"323",323,"Drake",0.294,0.418,0.546,-9.057,0.238,0.227,160.152,0.229,"Crew Love","Take Care (Deluxe)",2011
"324",324,"Drake",0.299,0.629,0.515,-10.358,0.265,0.0267,121.845,0.0888,"Take Care","Take Care (Deluxe)",2011
"325",325,"Drake",0.312,0.492,0.26,-17.341,0.0921,0.646,111.519,0.0705,"Marvins Room","Take Care (Deluxe)",2011
"326",326,"Drake",0.801,0.711,0.543,-12.692,0.112,0.412,102.01,0.505,"Buried Alive Interlude","Take Care (Deluxe)",2011
"327",327,"Drake",0.397,0.487,0.712,-7.323,0.27,5.2e-05,156.209,0.198,"Under Ground Kings","Take Care (Deluxe)",2011
"328",328,"Drake",0.217,0.386,0.488,-7.303,0.422,0.00171,193.397,0.64,"We'll Be Fine","Take Care (Deluxe)",2011
"329",329,"Drake",0.355,0.684,0.486,-10.155,0.132,0.00268,131.913,0.157,"Make Me Proud","Take Care (Deluxe)",2011
"330",330,"Drake",0.303,0.417,0.887,-5.551,0.367,0.0786,167.579,0.834,"Lord Knows","Take Care (Deluxe)",2011
"331",331,"Drake",0.158,0.441,0.403,-11.18,0.147,0.255,139.92,0.13,"Cameras / Good Ones Go Interlude - Medley","Take Care (Deluxe)",2011
"332",332,"Drake",0.123,0.397,0.172,-15.698,0.0445,0.841,101.275,0.108,"Doing It Wrong","Take Care (Deluxe)",2011
"333",333,"Drake",0.509,0.567,0.309,-14.254,0.385,0.166,65.041,0.12,"The Real Her","Take Care (Deluxe)",2011
"334",334,"Drake",0.271,0.495,0.351,-14.669,0.34,0.485,134.369,0.0967,"Look What You've Done","Take Care (Deluxe)",2011
"335",335,"Drake",0.359,0.444,0.627,-8.744,0.252,0.123,98.21,0.0795,"HYFR (Hell Ya Fucking Right)","Take Care (Deluxe)",2011
"336",336,"Drake",0.31,0.446,0.239,-15.327,0.0876,0.574,104.675,0.12,"Practice","Take Care (Deluxe)",2011
"337",337,"Drake",0.793,0.556,0.702,-10.079,0.205,0.517,155.948,0.343,"The Ride","Take Care (Deluxe)",2011
"338",338,"Drake",0.39,0.766,0.442,-8.558,0.356,0.000107,201.8,0.111,"The Motto","Take Care (Deluxe)",2011
"339",339,"Drake",0.53,0.55,0.758,-6.472,0.347,0.433,89.368,0.162,"Fireworks","Thank Me Later",2010
"340",340,"Drake",0.949,0.758,0.654,-7.097,0.116,0.00879,151.008,0.0797,"Karaoke","Thank Me Later",2010
"341",341,"Drake",0.637,0.547,0.741,-8.127,0.163,0.822,82.589,0.117,"The Resistance","Thank Me Later",2010
"342",342,"Drake",0.45,0.35,0.845,-5.614,0.2,0.0107,99.643,0.123,"Over","Thank Me Later",2010
"343",343,"Drake",0.704,0.667,0.734,-6.064,0.119,0.0386,128.318,0.108,"Show Me A Good Time","Thank Me Later",2010
"344",344,"Drake",0.276,0.606,0.811,-4.667,0.278,0.00782,156.347,0.349,"Up All Night","Thank Me Later",2010
"345",345,"Drake",0.28,0.53,0.884,-5.581,0.457,0.332,87.194,0.355,"Fancy","Thank Me Later",2010
"346",346,"Drake",0.399,0.59,0.434,-9.298,0.069,0.411,119.905,0.0979,"Shut It Down","Thank Me Later",2010
"347",347,"Drake",0.071,0.546,0.87,-5.107,0.114,0.103,156.145,0.111,"Unforgettable","Thank Me Later",2010
"348",348,"Drake",0.198,0.472,0.908,-5.991,0.45,0.0936,172.924,0.15,"Light Up","Thank Me Later",2010
"349",349,"Drake",0.332,0.426,0.862,-5.979,0.597,0.0813,100.3,0.34,"Miss Me","Thank Me Later",2010
"350",350,"Drake",0.234,0.473,0.603,-6.875,0.0319,0.0549,94.984,0.115,"Cece's Interlude","Thank Me Later",2010
"351",351,"Drake",0.758,0.627,0.614,-6.006,0.17,0.0211,96.038,0.0286,"Find Your Love","Thank Me Later",2010
"352",352,"Drake",0.748,0.495,0.772,-4.851,0.425,0.282,71.295,0.119,"Thank Me Now","Thank Me Later",2010
"353",353,"Drake",0.0853,0.462,0.422,-10.381,0.175,0.939,87.364,0.108,"Lust For Life","So Far Gone",2009
"354",354,"Drake",0.406,0.683,0.695,-6.798,0.0574,0.393,135.337,0.124,"Houstatlantavegas","So Far Gone",2009
"355",355,"Drake",0.231,0.562,0.544,-5.065,0.369,0.536,159.517,0.17,"Successful (feat. Trey Songz & Lil Wayne)","So Far Gone",2009
"356",356,"Drake",0.938,0.79,0.731,-4.607,0.0327,0.00427,127.403,0.157,"Let’s Call It Off (feat. Peter Bjorn and John)","So Far Gone",2009
"357",357,"Drake",0.534,0.749,0.476,-11.147,0.507,0.579,71.937,0.1,"November 18th","So Far Gone",2009
"358",358,"Drake",0.121,0.591,0.846,-3.687,0.276,0.186,94.795,0.463,"Ignant Shit (feat. Lil Wayne)","So Far Gone",2009
"359",359,"Drake",0.368,0.611,0.508,-5.573,0.0741,0.374,103.612,0.168,"A Night Off (feat. Lloyd)","So Far Gone",2009
"360",360,"Drake",0.455,0.462,0.773,-5.375,0.288,0.632,86.157,0.212,"Say What's Real","So Far Gone",2009
"361",361,"Drake",0.771,0.758,0.888,-4.899,0.0374,0.0999,120.392,0.661,"Little Bit (feat. Lykke Li)","So Far Gone",2009
"362",362,"Drake",0.558,0.395,0.922,-2.176,0.375,0.19,162.361,0.134,"Best I Ever Had","So Far Gone",2009
"363",363,"Drake",0.821,0.774,0.912,-2.787,0.347,0.165,150.083,0.745,"Unstoppable (feat. Santigold & Lil Wayne)","So Far Gone",2009
"364",364,"Drake",0.417,0.416,0.824,-3.075,0.343,0.00391,85.433,0.104,"Uptown (feat. Bun B & Lil Wayne)","So Far Gone",2009
"365",365,"Drake",0.506,0.616,0.501,-5.722,0.24,0.178,94.554,0.105,"Sooner Than Later","So Far Gone",2009
"366",366,"Drake",0.237,0.49,0.507,-6.205,0.0849,0.209,147.037,0.119,"Bria's Interlude (feat. Omarion)","So Far Gone",2009
"367",367,"Drake",0.258,0.471,0.784,-8.25,0.883,0.819,160.833,0.107,"The Calm","So Far Gone",2009
"368",368,"Drake",0.136,0.397,0.0906,-21.655,0.054,0.988,185.167,0.344,"Outro (feat. Chilly Gonzales)","So Far Gone",2009
"369",369,"Drake",0.356,0.399,0.491,-8.992,0.0714,0.631,94.542,0.171,"Brand New","So Far Gone",2009
"370",370,"Drake",0.125,0.333,0.859,-2.286,0.148,0.0185,86.882,0.22,"Congratulations","So Far Gone",2009
"371",371,"Olivia Rodrigo",0.401,0.43,0.692,-4.234,0.0429,0.254,156.261,0.148,"all-american bitch","GUTS",2023
"372",372,"Olivia Rodrigo",0.748,0.627,0.879,-3.446,0.0955,0.00193,129.979,0.0647,"bad idea right?","GUTS",2023
"373",373,"Olivia Rodrigo",0.35,0.511,0.532,-5.745,0.0578,0.177,138.005,0.291,"vampire","GUTS",2023
"374",374,"Olivia Rodrigo",0.413,0.455,0.379,-7.628,0.0341,0.803,76.967,0.109,"lacy","GUTS",2023
"375",375,"Olivia Rodrigo",0.469,0.385,0.873,-3.331,0.069,0.0557,120.393,0.353,"ballad of a homeschooled girl","GUTS",2023
"376",376,"Olivia Rodrigo",0.226,0.537,0.413,-7.736,0.0319,0.346,133.21,0.12,"making the bed","GUTS",2023
"377",377,"Olivia Rodrigo",0.153,0.499,0.246,-8.082,0.0345,0.853,81.051,0.1,"logical","GUTS",2023
"378",378,"Olivia Rodrigo",0.74,0.546,0.846,-5.719,0.181,0.0135,162.043,0.607,"get him back!","GUTS",2023
"379",379,"Olivia Rodrigo",0.677,0.52,0.831,-3.432,0.0968,0.00261,160.035,0.156,"love is embarrassing","GUTS",2023
"380",380,"Olivia Rodrigo",0.317,0.548,0.307,-9.214,0.0781,0.916,127.923,0.0828,"the grudge","GUTS",2023
"381",381,"Olivia Rodrigo",0.594,0.554,0.854,-4.338,0.0561,0.00394,123.926,0.0798,"pretty isn’t pretty","GUTS",2023
"382",382,"Olivia Rodrigo",0.104,0.422,0.229,-10.208,0.0362,0.816,135.82,0.109,"teenage dream","GUTS",2023
"383",383,"Olivia Rodrigo",0.28,0.672,0.526,-6.446,0.0599,0.0311,123.999,0.28,"brutal","SOUR",2021
"384",384,"Olivia Rodrigo",0.0849,0.38,0.339,-7.885,0.0338,0.691,100.607,0.12,"traitor","SOUR",2021
"385",385,"Olivia Rodrigo",0.137,0.561,0.431,-8.81,0.0578,0.768,143.875,0.106,"drivers license","SOUR",2021
"386",386,"Olivia Rodrigo",0.419,0.473,0.203,-12.627,0.102,0.941,168.884,0.126,"1 step forward, 3 steps back","SOUR",2021
"387",387,"Olivia Rodrigo",0.178,0.442,0.612,-7.222,0.112,0.584,180.917,0.37,"deja vu","SOUR",2021
"388",388,"Olivia Rodrigo",0.688,0.563,0.664,-5.044,0.154,0.335,166.928,0.0849,"good 4 u","SOUR",2021
"389",389,"Olivia Rodrigo",0.269,0.638,0.259,-10.706,0.0898,0.753,88.485,0.219,"enough for you","SOUR",2021
"390",390,"Olivia Rodrigo",0.338,0.395,0.443,-9.72,0.133,0.765,168.924,0.0839,"happier","SOUR",2021
"391",391,"Olivia Rodrigo",0.699,0.695,0.575,-6.334,0.116,0.198,163.929,0.0614,"jealousy, jealousy","SOUR",2021
"392",392,"Olivia Rodrigo",0.218,0.369,0.272,-10.497,0.0364,0.866,172.929,0.147,"favorite crime","SOUR",2021
"393",393,"Olivia Rodrigo",0.172,0.443,0.298,-12.181,0.0644,0.388,77.253,0.103,"hope ur ok","SOUR",2021
