,Unnamed: 0,Artist Name,Valence,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Track Name,Album Name,Album Release Year
0,1,Doja Cat,0.726,0.864,0.556,-7.683,0.194,0.255,0.112,99.974,Paint The Town Red,Scarlet,2023
1,2,Doja Cat,0.313,0.831,0.362,-6.085,0.229,0.000156,0.168,139.941,Demons,Scarlet,2023
2,3,Doja Cat,0.192,0.804,0.656,-5.723,0.0896,0.0207,0.107,150.014,Wet Vagina,Scarlet,2023
3,4,Doja Cat,0.643,0.764,0.72,-6.494,0.273,0.196,0.111,91.337,Fuck The Girls (FTG),Scarlet,2023
4,5,Doja Cat,0.794,0.854,0.808,-5.958,0.139,0.0194,0.108,110.203,Ouchies,Scarlet,2023
5,6,Doja Cat,0.864,0.564,0.796,-2.652,0.351,0.184,0.147,153.586,97,Scarlet,2023
6,7,Doja Cat,0.805,0.885,0.576,-7.17,0.238,0.0695,0.0993,76.004,Gun,Scarlet,2023
7,8,Doja Cat,0.552,0.933,0.533,-8.0,0.0585,0.027,0.118,140.991,Go Off,Scarlet,2023
8,9,Doja Cat,0.409,0.763,0.441,-9.043,0.11,0.0343,0.132,145.926,Shutcho,Scarlet,2023
9,10,Doja Cat,0.392,0.75,0.674,-6.128,0.097,0.228,0.122,123.026,Agora Hills,Scarlet,2023
10,11,Doja Cat,0.815,0.472,0.79,-4.337,0.322,0.286,0.0636,77.908,Can't Wait,Scarlet,2023
11,12,Doja Cat,0.593,0.509,0.638,-5.516,0.475,0.554,0.11,171.817,Often,Scarlet,2023
12,13,Doja Cat,0.649,0.597,0.622,-9.593,0.343,0.616,0.121,82.361,Love Life,Scarlet,2023
13,14,Doja Cat,0.501,0.632,0.706,-6.127,0.0987,0.106,0.143,85.0,Skull And Bones,Scarlet,2023
14,15,Doja Cat,0.395,0.758,0.587,-6.932,0.244,0.13,0.109,87.997,Attention,Scarlet,2023
15,16,Doja Cat,0.377,0.778,0.626,-4.329,0.161,0.183,0.177,148.022,Balut,Scarlet,2023
16,17,Doja Cat,0.375,0.895,0.486,-5.937,0.273,0.00449,0.119,144.064,WYM Freestyle,Scarlet,2023
17,18,Doja Cat,0.881,0.824,0.764,-4.175,0.0854,0.0888,0.117,107.998,Woman,Planet Her (Deluxe),2021
18,19,Doja Cat,0.536,0.733,0.862,-5.736,0.197,0.374,0.131,111.076,Naked,Planet Her (Deluxe),2021
19,20,Doja Cat,0.558,0.619,0.707,-5.791,0.0499,0.0366,0.13,168.995,Payday (feat. Young Thug),Planet Her (Deluxe),2021
20,21,Doja Cat,0.793,0.912,0.655,-6.029,0.162,0.315,0.0894,91.942,Get Into It (Yuh),Planet Her (Deluxe),2021
21,22,Doja Cat,0.194,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,Need to Know,Planet Her (Deluxe),2021
22,23,Doja Cat,0.45,0.683,0.615,-5.737,0.0966,0.222,0.154,77.014,I Don't Do Drugs (feat. Ariana Grande),Planet Her (Deluxe),2021
23,24,Doja Cat,0.529,0.734,0.45,-7.075,0.0824,0.597,0.0964,135.067,Love To Dream,Planet Her (Deluxe),2021
24,25,Doja Cat,0.436,0.828,0.621,-6.414,0.0565,0.0164,0.0845,128.986,You Right,Planet Her (Deluxe),2021
25,26,Doja Cat,0.176,0.678,0.531,-5.029,0.0374,0.126,0.377,99.008,Been Like This,Planet Her (Deluxe),2021
26,27,Doja Cat,0.285,0.842,0.522,-7.844,0.0985,0.293,0.107,132.986,Options (feat. JID),Planet Her (Deluxe),2021
27,28,Doja Cat,0.619,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,Ain't Shit,Planet Her (Deluxe),2021
28,29,Doja Cat,0.698,0.82,0.656,-5.537,0.0399,0.209,0.124,143.059,Imagine,Planet Her (Deluxe),2021
29,30,Doja Cat,0.746,0.691,0.656,-5.864,0.172,0.543,0.095,169.973,Alone,Planet Her (Deluxe),2021
30,31,Doja Cat,0.781,0.764,0.705,-3.463,0.0284,0.259,0.12,110.97,Kiss Me More (feat. SZA),Planet Her (Deluxe),2021
31,32,Doja Cat,0.502,0.837,0.567,-6.709,0.0649,0.0158,0.118,129.001,You Right - Extended,Planet Her (Deluxe),2021
32,33,Doja Cat,0.67,0.829,0.761,-4.882,0.117,0.186,0.0705,74.979,Up And Down,Planet Her (Deluxe),2021
33,34,Doja Cat,0.866,0.779,0.558,-5.523,0.259,0.0417,0.0727,91.933,Tonight (feat. Eve),Planet Her (Deluxe),2021
34,35,Doja Cat,0.828,0.722,0.592,-6.718,0.383,0.224,0.0714,199.719,Ride,Planet Her (Deluxe),2021
35,36,Doja Cat,0.476,0.592,0.635,-5.351,0.0971,0.212,0.305,155.907,Why Why (feat. Gunna),Planet Her (Deluxe),2021
36,37,Doja Cat,0.881,0.824,0.764,-4.175,0.0854,0.0888,0.117,107.998,Woman,Planet Her,2021
37,38,Doja Cat,0.536,0.733,0.862,-5.736,0.197,0.374,0.131,111.076,Naked,Planet Her,2021
38,39,Doja Cat,0.558,0.619,0.707,-5.791,0.0499,0.0366,0.13,168.995,Payday (feat. Young Thug),Planet Her,2021
39,40,Doja Cat,0.793,0.912,0.655,-6.029,0.162,0.315,0.0894,91.942,Get Into It (Yuh),Planet Her,2021
40,41,Doja Cat,0.194,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,Need to Know,Planet Her,2021
41,42,Doja Cat,0.45,0.683,0.615,-5.737,0.0966,0.222,0.154,77.014,I Don't Do Drugs (feat. Ariana Grande),Planet Her,2021
42,43,Doja Cat,0.529,0.734,0.45,-7.075,0.0824,0.597,0.0964,135.067,Love To Dream,Planet Her,2021
43,44,Doja Cat,0.436,0.828,0.621,-6.414,0.0565,0.0164,0.0845,128.986,You Right,Planet Her,2021
44,45,Doja Cat,0.176,0.678,0.531,-5.029,0.0374,0.126,0.377,99.008,Been Like This,Planet Her,2021
45,46,Doja Cat,0.285,0.842,0.522,-7.844,0.0985,0.293,0.107,132.986,Options (feat. JID),Planet Her,2021
46,47,Doja Cat,0.619,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,Ain't Shit,Planet Her,2021
47,48,Doja Cat,0.698,0.82,0.656,-5.537,0.0399,0.209,0.124,143.059,Imagine,Planet Her,2021
48,49,Doja Cat,0.746,0.691,0.656,-5.864,0.172,0.543,0.095,169.973,Alone,Planet Her,2021
49,50,Doja Cat,0.781,0.764,0.705,-3.463,0.0284,0.259,0.12,110.97,Kiss Me More (feat. SZA),Planet Her,2021
50,51,Doja Cat,0.818,0.917,0.657,-5.716,0.0921,0.318,0.0754,131.03,Cyber Sex,Hot Pink,2019
51,52,Doja Cat,0.592,0.807,0.783,-3.115,0.0964,0.351,0.14,127.996,Won't Bite (feat. Smino),Hot Pink,2019
52,53,Doja Cat,0.686,0.651,0.724,-5.457,0.166,0.172,0.13,144.146,Rules,Hot Pink,2019
53,54,Doja Cat,0.484,0.695,0.825,-2.891,0.0359,0.00265,0.0723,160.028,Bottom Bitch,Hot Pink,2019
54,55,Doja Cat,0.779,0.787,0.673,-4.583,0.159,0.264,0.0904,110.962,Say So,Hot Pink,2019
55,56,Doja Cat,0.405,0.879,0.498,-6.027,0.18,0.239,0.0967,106.044,Like That (feat. Gucci Mane),Hot Pink,2019
56,57,Doja Cat,0.403,0.603,0.741,-5.58,0.12,0.276,0.104,168.006,Talk Dirty,Hot Pink,2019
57,58,Doja Cat,0.548,0.775,0.708,-6.073,0.166,0.00993,0.128,90.005,Addiction,Hot Pink,2019
58,59,Doja Cat,0.189,0.749,0.463,-8.433,0.0842,0.21,0.338,90.035,Streets,Hot Pink,2019
59,60,Doja Cat,0.289,0.559,0.63,-6.075,0.246,0.421,0.102,107.627,Shine,Hot Pink,2019
60,61,Doja Cat,0.509,0.674,0.759,-5.379,0.0376,0.294,0.116,129.926,Better Than Me,Hot Pink,2019
61,62,Doja Cat,0.484,0.785,0.652,-2.607,0.0668,0.102,0.0697,170.024,Juicy,Hot Pink,2019
62,63,Doja Cat,0.7,0.71,0.71,-2.474,0.0579,0.0716,0.206,169.944,Go To Town,Amala (Deluxe Version),2019
63,64,Doja Cat,0.466,0.722,0.864,-3.317,0.107,0.00324,0.164,148.025,Cookie Jar,Amala (Deluxe Version),2019
64,65,Doja Cat,0.125,0.664,0.637,-5.593,0.0283,0.00434,0.199,121.975,Roll With Us,Amala (Deluxe Version),2019
65,66,Doja Cat,0.138,0.797,0.444,-7.738,0.0411,0.304,0.107,95.035,Wine Pon You (feat. Konshens),Amala (Deluxe Version),2019
66,67,Doja Cat,0.153,0.747,0.734,-5.781,0.0361,0.0726,0.131,110.978,Fancy,Amala (Deluxe Version),2019
67,68,Doja Cat,0.379,0.713,0.675,-6.519,0.0654,0.251,0.117,120.048,Wild Beach,Amala (Deluxe Version),2019
68,69,Doja Cat,0.146,0.594,0.504,-8.182,0.0254,0.0339,0.196,139.932,Morning Light,Amala (Deluxe Version),2019
69,70,Doja Cat,0.209,0.689,0.516,-5.857,0.0444,0.513,0.168,124.876,Candy,Amala (Deluxe Version),2019
70,71,Doja Cat,0.595,0.75,0.783,-5.612,0.0524,0.00158,0.143,120.016,Game,Amala (Deluxe Version),2019
71,72,Doja Cat,0.323,0.653,0.632,-6.866,0.0993,0.0827,0.0669,128.02,Casual,Amala (Deluxe Version),2019
72,73,Doja Cat,0.442,0.556,0.745,-6.409,0.169,0.00184,0.367,141.252,Down Low,Amala (Deluxe Version),2019
73,74,Doja Cat,0.691,0.717,0.468,-7.077,0.0525,0.277,0.112,96.47,Body Language,Amala (Deluxe Version),2019
74,75,Doja Cat,0.197,0.797,0.556,-7.08,0.168,0.183,0.0795,130.07,All Nighter,Amala (Deluxe Version),2019
75,76,Doja Cat,0.428,0.77,0.697,-2.644,0.0607,0.0817,0.0663,170.084,Juicy,Amala (Deluxe Version),2019
76,77,Doja Cat,0.421,0.822,0.654,-4.623,0.132,0.019,0.233,119.884,Tia Tamera (feat. Rico Nasty),Amala (Deluxe Version),2019
77,78,Doja Cat,0.509,0.869,0.532,-7.186,0.23,0.517,0.103,89.004,MOOO!,Amala (Deluxe Version),2019
78,79,Doja Cat,0.7,0.71,0.71,-2.474,0.0579,0.0716,0.206,169.944,Go To Town,Amala,2018
79,80,Doja Cat,0.466,0.722,0.864,-3.317,0.107,0.00324,0.164,148.025,Cookie Jar,Amala,2018
80,81,Doja Cat,0.125,0.664,0.637,-5.593,0.0283,0.00434,0.199,121.975,Roll With Us,Amala,2018
81,82,Doja Cat,0.138,0.797,0.444,-7.738,0.0411,0.304,0.107,95.035,Wine Pon You (feat. Konshens),Amala,2018
82,83,Doja Cat,0.148,0.739,0.737,-5.78,0.0375,0.0637,0.483,110.976,Fancy,Amala,2018
83,84,Doja Cat,0.355,0.715,0.675,-6.669,0.0859,0.249,0.115,120.042,Wild Beach,Amala,2018
84,85,Doja Cat,0.139,0.593,0.505,-8.169,0.0257,0.0329,0.194,139.941,Morning Light,Amala,2018
85,86,Doja Cat,0.209,0.689,0.516,-5.857,0.0444,0.513,0.163,124.876,Candy,Amala,2018
86,87,Doja Cat,0.635,0.722,0.766,-5.566,0.055,0.00134,0.142,119.962,Game,Amala,2018
87,88,Doja Cat,0.323,0.653,0.632,-6.866,0.0993,0.0827,0.0669,128.02,Casual,Amala,2018
88,89,Doja Cat,0.442,0.556,0.745,-6.409,0.169,0.00184,0.367,141.252,Down Low,Amala,2018
89,90,Doja Cat,0.682,0.717,0.47,-7.081,0.0478,0.277,0.104,96.491,Body Language,Amala,2018
90,91,Doja Cat,0.223,0.8,0.551,-6.249,0.162,0.198,0.0776,129.994,All Nighter,Amala,2018
91,92,Drake,0.2,0.402,0.514,-7.322,0.0471,0.106,0.181,120.009,Virginia Beach,For All The Dogs,2023
92,93,Drake,0.309,0.646,0.605,-7.59,0.188,0.0636,0.253,90.156,Amen (feat. Teezo Touchdown),For All The Dogs,2023
93,94,Drake,0.104,0.571,0.55,-6.567,0.106,0.0548,0.179,120.947,Calling For You (feat. 21 Savage),For All The Dogs,2023
94,95,Drake,0.0666,0.581,0.325,-9.238,0.22,0.0128,0.16,136.934,Fear Of Heights,For All The Dogs,2023
95,96,Drake,0.0667,0.566,0.564,-7.88,0.277,0.0149,0.104,139.92,Daylight,For All The Dogs,2023
96,97,Drake,0.248,0.47,0.64,-7.779,0.32,0.0277,0.382,163.92,First Person Shooter (feat. J. Cole),For All The Dogs,2023
97,98,Drake,0.138,0.663,0.67,-8.399,0.271,0.0464,0.205,136.952,IDGAF (feat. Yeat),For All The Dogs,2023
98,99,Drake,0.325,0.487,0.49,-9.373,0.0649,0.554,0.126,141.389,7969 Santa,For All The Dogs,2023
99,100,Drake,0.105,0.483,0.408,-9.243,0.0502,0.508,0.259,88.88,Slime You Out (feat. SZA),For All The Dogs,2023
100,101,Drake,0.369,0.626,0.309,-10.397,0.0433,0.85,0.117,117.94,Bahamas Promises,For All The Dogs,2023
101,102,Drake,0.231,0.57,0.295,-13.693,0.0445,0.837,0.167,84.139,Tried Our Best,For All The Dogs,2023
102,103,Drake,0.629,0.823,0.642,-5.922,0.258,0.0644,0.105,146.781,Screw The World - Interlude,For All The Dogs,2023
103,104,Drake,0.143,0.707,0.334,-12.792,0.244,0.375,0.17,127.944,Drew A Picasso,For All The Dogs,2023
104,105,Drake,0.176,0.647,0.34,-8.795,0.0496,0.245,0.107,91.998,Members Only (feat. PARTYNEXTDOOR),For All The Dogs,2023
105,106,Drake,0.473,0.832,0.555,-7.766,0.116,0.0506,0.213,95.618,What Would Pluto Do,For All The Dogs,2023
106,107,Drake,0.195,0.65,0.405,-10.156,0.199,0.552,0.107,124.747,All The Parties (feat. Chief Keef),For All The Dogs,2023
107,108,Drake,0.668,0.567,0.682,-6.423,0.274,0.643,0.512,79.043,8am in Charlotte,For All The Dogs,2023
108,109,Drake,0.574,0.502,0.391,-9.013,0.0428,0.845,0.112,132.819,BBL Love - Interlude,For All The Dogs,2023
109,110,Drake,0.255,0.868,0.407,-7.735,0.295,0.0479,0.139,107.524,Gently (feat. Bad Bunny),For All The Dogs,2023
110,111,Drake,0.142,0.645,0.729,-4.56,0.0528,0.0377,0.384,146.01,Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,2023
111,112,Drake,0.214,0.684,0.541,-8.04,0.0483,0.0347,0.138,158.046,Another Late Night (feat. Lil Yachty),For All The Dogs,2023
112,113,Drake,0.226,0.848,0.625,-7.64,0.0587,0.0195,0.109,93.019,Away From Home,For All The Dogs,2023
113,114,Drake,0.343,0.44,0.274,-14.464,0.0809,0.0924,0.128,76.513,Polar Opposites,For All The Dogs,2023
114,115,Drake,0.424,0.561,0.52,-9.342,0.244,0.0503,0.355,153.15,Rich Flex,Her Loss,2022
115,116,Drake,0.225,0.908,0.546,-10.491,0.323,0.0127,0.0707,131.016,Major Distribution,Her Loss,2022
116,117,Drake,0.329,0.841,0.358,-8.368,0.591,0.0201,0.39,158.014,On BS,Her Loss,2022
117,118,Drake,0.395,0.849,0.433,-8.434,0.316,0.0407,0.388,142.11,BackOutsideBoyz,Her Loss,2022
118,119,Drake,0.616,0.934,0.614,-7.384,0.198,0.00274,0.123,144.045,Privileged Rappers,Her Loss,2022
119,120,Drake,0.203,0.773,0.701,-6.386,0.0512,0.01,0.163,129.963,Spin Bout U,Her Loss,2022
120,121,Drake,0.111,0.501,0.403,-11.106,0.119,0.234,0.267,118.352,Hours In Silence,Her Loss,2022
121,122,Drake,0.609,0.746,0.517,-7.582,0.327,0.0782,0.137,88.987,Treacherous Twins,Her Loss,2022
122,123,Drake,0.252,0.734,0.605,-8.476,0.0699,0.0102,0.317,103.976,Circo Loco,Her Loss,2022
123,124,Drake,0.445,0.749,0.63,-6.652,0.116,0.0623,0.353,122.03,Pussy & Millions (feat. Travis Scott),Her Loss,2022
124,125,Drake,0.112,0.642,0.533,-7.45,0.266,0.0104,0.251,120.041,Broke Boys,Her Loss,2022
125,126,Drake,0.25,0.466,0.703,-5.774,0.393,0.18,0.422,76.815,Middle of the Ocean,Her Loss,2022
126,127,Drake,0.319,0.799,0.575,-6.257,0.282,0.221,0.196,99.026,Jumbotron Shit Poppin,Her Loss,2022
127,128,Drake,0.0713,0.704,0.504,-6.749,0.223,0.0405,0.139,82.537,More M’s,Her Loss,2022
128,129,Drake,0.241,0.475,0.692,-8.327,0.398,0.0533,0.18,181.167,3AM on Glenwood,Her Loss,2022
129,130,Drake,0.0398,0.385,0.34,-11.754,0.051,0.499,0.196,83.947,I Guess It’s Fuck Me,Her Loss,2022
130,131,Drake,0.213,0.193,0.0218,-31.16,0.0389,0.955,0.117,125.501,Intro,"Honestly, Nevermind",2022
131,132,Drake,0.349,0.718,0.758,-8.29,0.0703,0.238,0.11,118.989,Falling Back,"Honestly, Nevermind",2022
132,133,Drake,0.536,0.765,0.627,-4.607,0.0622,0.000916,0.0847,118.997,Texts Go Green,"Honestly, Nevermind",2022
133,134,Drake,0.416,0.883,0.283,-12.653,0.113,0.104,0.0935,122.013,Currents,"Honestly, Nevermind",2022
134,135,Drake,0.323,0.6,0.482,-11.596,0.0701,0.512,0.115,121.909,A Keeper,"Honestly, Nevermind",2022
135,136,Drake,0.484,0.826,0.276,-11.227,0.266,0.62,0.118,123.985,Calling My Name,"Honestly, Nevermind",2022
136,137,Drake,0.0774,0.853,0.495,-14.63,0.14,0.0917,0.0844,137.027,Sticky,"Honestly, Nevermind",2022
137,138,Drake,0.0557,0.499,0.671,-6.774,0.0561,0.114,0.148,124.994,Massive,"Honestly, Nevermind",2022
138,139,Drake,0.201,0.593,0.41,-13.097,0.0531,0.886,0.115,122.584,Flight's Booked,"Honestly, Nevermind",2022
139,140,Drake,0.518,0.502,0.645,-10.611,0.122,0.444,0.107,109.739,Overdrive,"Honestly, Nevermind",2022
140,141,Drake,0.639,0.718,0.319,-11.261,0.0435,0.965,0.0895,109.994,Down Hill,"Honestly, Nevermind",2022
141,142,Drake,0.284,0.775,0.688,-10.912,0.0593,0.0176,0.108,120.017,Tie That Binds,"Honestly, Nevermind",2022
142,143,Drake,0.582,0.557,0.706,-6.592,0.0649,0.268,0.132,105.013,Liability,"Honestly, Nevermind",2022
143,144,Drake,0.366,0.529,0.673,-4.711,0.175,0.000307,0.093,165.921,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",2022
144,145,Drake,0.496,0.423,0.667,-7.012,0.326,0.758,0.246,86.743,Champagne Poetry,Certified Lover Boy,2021
145,146,Drake,0.588,0.701,0.741,-6.157,0.313,0.112,0.699,140.177,Papi’s Home,Certified Lover Boy,2021
146,147,Drake,0.381,0.767,0.438,-8.726,0.29,0.181,0.142,86.975,Girls Want Girls (with Lil Baby),Certified Lover Boy,2021
147,148,Drake,0.147,0.686,0.385,-8.35,0.297,0.614,0.131,143.07,In The Bible (with Lil Durk & Giveon),Certified Lover Boy,2021
148,149,Drake,0.155,0.73,0.576,-5.442,0.287,0.354,0.15,92.131,Love All (with JAY-Z),Certified Lover Boy,2021
149,150,Drake,0.292,0.666,0.465,-8.545,0.26,0.0503,0.215,167.937,Fair Trade (with Travis Scott),Certified Lover Boy,2021
150,151,Drake,0.331,0.803,0.597,-6.035,0.141,0.000619,0.323,136.008,Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,2021
151,152,Drake,0.246,0.568,0.56,-9.059,0.42,0.228,0.39,130.019,TSU,Certified Lover Boy,2021
152,153,Drake,0.0744,0.507,0.429,-7.726,0.326,0.0518,0.109,91.0,N 2 Deep,Certified Lover Boy,2021
153,154,Drake,0.59,0.518,0.69,-6.15,0.107,0.128,0.176,77.837,Pipe Down,Certified Lover Boy,2021
154,155,Drake,0.0908,0.476,0.161,-11.665,0.0407,0.967,0.109,119.614,Yebba’s Heartbreak,Certified Lover Boy,2021
155,156,Drake,0.171,0.84,0.744,-4.751,0.113,0.0181,0.629,83.737,No Friends In The Industry,Certified Lover Boy,2021
156,157,Drake,0.153,0.849,0.424,-9.579,0.324,0.0635,0.0834,145.887,Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,2021
157,158,Drake,0.141,0.724,0.531,-4.108,0.298,0.225,0.11,89.901,7am On Bridle Path,Certified Lover Boy,2021
158,159,Drake,0.783,0.488,0.635,-7.19,0.26,0.179,0.156,174.072,Race My Mind,Certified Lover Boy,2021
159,160,Drake,0.689,0.843,0.485,-8.735,0.195,0.181,0.107,100.053,Fountains (with Tems),Certified Lover Boy,2021
160,161,Drake,0.338,0.32,0.466,-6.77,0.0374,0.00645,0.133,177.693,Get Along Better,Certified Lover Boy,2021
161,162,Drake,0.711,0.519,0.851,-6.001,0.29,0.118,0.178,123.823,You Only Live Twice (with Lil Wayne & Rick Ross),Certified Lover Boy,2021
162,163,Drake,0.0498,0.59,0.493,-8.704,0.0367,0.402,0.129,150.026,IMY2 (with Kid Cudi),Certified Lover Boy,2021
163,164,Drake,0.165,0.783,0.416,-9.84,0.135,0.213,0.103,87.073,F*****g Fans,Certified Lover Boy,2021
164,165,Drake,0.637,0.473,0.53,-8.506,0.249,0.812,0.227,74.732,The Remorse,Certified Lover Boy,2021
165,166,Drake,0.374,0.473,0.824,-3.68,0.163,0.482,0.605,77.888,Deep Pockets,Dark Lane Demo Tapes,2020
166,167,Drake,0.526,0.41,0.82,-6.808,0.533,0.252,0.538,170.718,When To Say When,Dark Lane Demo Tapes,2020
167,168,Drake,0.0397,0.735,0.449,-7.507,0.347,0.629,0.113,122.947,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,2020
168,169,Drake,0.316,0.458,0.452,-9.299,0.047,0.342,0.0703,86.318,Not You Too (feat. Chris Brown),Dark Lane Demo Tapes,2020
169,170,Drake,0.845,0.83,0.49,-8.82,0.209,0.289,0.113,81.604,Toosie Slide,Dark Lane Demo Tapes,2020
170,171,Drake,0.554,0.812,0.506,-7.706,0.116,0.281,0.325,145.074,Desires (with Future),Dark Lane Demo Tapes,2020
171,172,Drake,0.5,0.864,0.477,-5.786,0.224,0.201,0.182,86.46,Time Flies,Dark Lane Demo Tapes,2020
172,173,Drake,0.715,0.881,0.636,-4.629,0.287,0.00606,0.111,163.949,Landed,Dark Lane Demo Tapes,2020
173,174,Drake,0.815,0.718,0.706,-5.709,0.06,0.0128,0.352,170.004,D4L,Dark Lane Demo Tapes,2020
174,175,Drake,0.12,0.825,0.373,-5.532,0.108,0.163,0.368,77.271,Pain 1993 (with Playboi Carti),Dark Lane Demo Tapes,2020
175,176,Drake,0.505,0.551,0.57,-7.385,0.351,0.28,0.424,85.687,Losses,Dark Lane Demo Tapes,2020
176,177,Drake,0.476,0.787,0.477,-7.837,0.199,0.768,0.104,80.506,From Florida With Love,Dark Lane Demo Tapes,2020
177,178,Drake,0.729,0.543,0.766,-3.387,0.343,0.423,0.155,106.869,Demons (feat. Fivio Foreign & Sosa Geek),Dark Lane Demo Tapes,2020
178,179,Drake,0.239,0.749,0.792,-4.151,0.0826,0.292,0.109,144.064,War,Dark Lane Demo Tapes,2020
179,180,Drake,0.33,0.423,0.587,-6.635,0.529,0.765,0.114,180.331,Dreams Money Can Buy,Care Package,2019
180,181,Drake,0.544,0.631,0.788,-7.142,0.102,0.371,0.108,157.769,The Motion,Care Package,2019
181,182,Drake,0.472,0.789,0.404,-8.364,0.23,0.205,0.219,122.062,How Bout Now,Care Package,2019
182,183,Drake,0.523,0.421,0.539,-5.456,0.274,0.779,0.111,89.177,Trust Issues,Care Package,2019
183,184,Drake,0.0361,0.733,0.361,-11.129,0.135,0.348,0.0942,94.902,Days in The East,Care Package,2019
184,185,Drake,0.564,0.673,0.81,-3.793,0.36,0.0322,0.133,166.084,Draft Day,Care Package,2019
185,186,Drake,0.549,0.743,0.66,-4.802,0.418,0.115,0.101,192.031,4pm in Calabasas,Care Package,2019
186,187,Drake,0.391,0.555,0.88,-4.325,0.265,0.0678,0.0723,87.195,5 Am in Toronto,Care Package,2019
187,188,Drake,0.689,0.477,0.501,-9.178,0.0398,0.706,0.0953,81.376,I Get Lonely,Care Package,2019
188,189,Drake,0.385,0.549,0.495,-5.661,0.133,0.603,0.0979,81.012,My Side,Care Package,2019
189,190,Drake,0.282,0.498,0.844,-2.834,0.268,0.0111,0.102,88.435,Jodeci Freestyle (feat. J. Cole),Care Package,2019
190,191,Drake,0.543,0.338,0.729,-6.419,0.102,0.758,0.18,184.174,Club Paradise,Care Package,2019
191,192,Drake,0.225,0.508,0.748,-4.997,0.33,0.281,0.168,100.414,Free Spirit (feat. Rick Ross),Care Package,2019
192,193,Drake,0.302,0.641,0.454,-8.344,0.133,0.179,0.065,78.036,Heat Of The Moment,Care Package,2019
193,194,Drake,0.328,0.619,0.489,-11.25,0.46,0.782,0.106,126.046,Girls Love Beyoncé (feat. James Fauntleroy),Care Package,2019
194,195,Drake,0.141,0.505,0.494,-8.635,0.315,0.414,0.105,171.978,Paris Morton Music,Care Package,2019
